,CATEGORY (i.e.ISCED description),INSTITUTION and COURSE,Course Code,pointsR1,R1 Random *,pointsR2,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Round_1_Points,Round_2_Points,EOS_Points
287,Welfare,Professional Social Care Practice,CW717,288,,,,288,,347,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
291,Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
293,Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
294,Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
295,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,CW837,200,,,,200,,356,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
298,Business and administration,Business,CW906,177,,,,177,,297,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
300,Business and administration,Business (options),CW917,224,,,,224,,378,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
301,Business and administration,Business with Law,CW926,210,,,,210,,409,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
302,Business and administration,Accounting,CW936,231,,,,231,,403,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
320,Social and behavioural sciences,Applied Social Care,DB528,AQA,,AQA,,AQA,,337,7,Dublin Business School,,avp,,,,,,,,,,,,
322,Arts,Sound Engineering and Music Production,DB534,AQA,,AQA,,AQA,,338,6,Dublin Business School,,avp,,,,,,,,,,,,
324,Arts,Arts,DB563,161,,189,,161,,357,6,Dublin Business School,,avp,,,,,,,,,,,,
329,Business and administration,Business Studies,DB571,173,,211,,122,,398,7,Dublin Business School,,avp,,,,,,,,,,,,
