,CATEGORY (i.e.ISCED description),INSTITUTION and COURSE,Course Code,pointsR1,R1 Random *,pointsR2,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Round_1_Points,Round_2_Points,EOS_Points
743,Engineering and engineering trades,Electrical Engineering,LC271,261,,,,261,,348,7,Limerick Institute of Technology,,,,,,,,,,,,,,
745,Arts,Creative Broadcast and Film Production,LC276,297,,,,297,,409,7,Limerick Institute of Technology,,,,,,,,,,,,,,
746,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,232,,,,232,,342,7,Limerick Institute of Technology,,,,,,,,,,,,,,
747,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,280,,,,280,,387,7,Limerick Institute of Technology,,,,,,,,,,,,,,
748,Engineering and engineering trades,Electronic Engineering,LC279,214,,,,226,,392,7,Limerick Institute of Technology,,,,,,,,,,,,,,
749,Engineering and engineering trades,Automobile Technology,LC281,208,,,,208,,332,6,Limerick Institute of Technology,,,,,,,,,,,,,,
750,Engineering and engineering trades,Precision Engineering,LC283,227,,,,233,,296,7,Limerick Institute of Technology,,,,,,,,,,,,,,
751,Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200,,,,200,,315,6,Limerick Institute of Technology,,,,,,,,,,,,,,
752,Engineering and engineering trades,Mechanical Engineering,LC285,272,,,,272,,455,7,Limerick Institute of Technology,,,,,,,,,,,,,,
753,Engineering and engineering trades,Road Transport Technology and Management,LC286,264,,,,264,,360,7,Limerick Institute of Technology,,,,,,,,,,,,,,
756,Personal services,Community Sport Development,LC290,188,,,,188,,312,7,Limerick Institute of Technology,,,,,,,,,,,,,,
764,Information and Communication Technologies (ICTs),Computing,LC336,207,,,,222,,337,7,Limerick Institute of Technology,,,,,,,,,,,,,,
775,Personal services,Culinary Arts,LC398,163,,,,163,,376,7,Limerick Institute of Technology,,,,,,,,,,,,,,
776,Personal services,Hospitality Supervision,LC399,148,,,,148,,300,7,Limerick Institute of Technology,,,,,,,,,,,,,,
781,Business and administration,Business,LC415,197,,,,197,,444,7,Limerick Institute of Technology,,,,,,,,,,,,,,
785,Personal services,Sports Strength and Conditioning,LC423,157,,,,157,,330,7,Limerick Institute of Technology,,,,,,,,,,,,,,
786,Environment,Environmental Science,LC425,278,,,,278,,399,7,Limerick Institute of Technology,,,,,,,,,,,,,,
787,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC428,278,,,,278,,429,7,Limerick Institute of Technology,,,,,,,,,,,,,,
788,Welfare,Early Childhood Education and Care,LC432,144,,,,144,,367,7,Limerick Institute of Technology,,,,,,,,,,,,,,
791,Information and Communication Technologies (ICTs),Creative Media and Design,LC504,192,,,,192,,378,7,Limerick Institute of Technology,,,,,,,,,,,,,,
794,Welfare,Social Care Work,LC602,260,,,,260,,370,7,Limerick Institute of Technology,,,,,,,,,,,,,,
795,Welfare,Early Childhood Education and Care,LC603,147,,,,174,,327,7,Limerick Institute of Technology,,,,,,,,,,,,,,
796,Business and administration,Business,LC605,195,,,,195,,418,7,Limerick Institute of Technology,,,,,,,,,,,,,,
842,Biological and related sciences,Equine Science,LM180,337,,,,328,,440,6,University of Limerick,,,,,,,,,,,,,,
843,Business and administration,Business - Common Entry,LY107,161,,161,,161,,358,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
846,Personal services,Sports Studies,LY206,149,,148,,148,,299,6,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
847,Law,Law with Criminal Justice,LY207,160,,160,,160,,377,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
850,Personal services,Culinary Arts,LY317,229,,224,,224,,387,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
851,Personal services,Hospitality And Tourism - Common Entry,LY327,170,,170,,170,,317,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
853,Arts,Digital Film and Video,LY427,172,,170,,172,,307,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
854,Arts,Animation,LY437,198,,223,,198,,387,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,,,,
855,Arts,Fashion with Promotion,LY447,266,,279,,266,,384,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,,,,
856,Arts,Graphic and Digital Design,LY457,179,,204,,189,,356,7,Letterkenny Institute of Technology,#,avp,v,,,,,,,,,,,
857,Architecture and construction,Quantity Surveying,LY507,181,,181,,181,,312,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
860,Architecture and construction,Civil Engineering,LY527,165,,163,,163,,329,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
862,Engineering and engineering trades,Electronic Engineering,LY607,160,,,,160,,389,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
864,Engineering and engineering trades,Mechanical Engineering,LY617,180,,180,,180,,328,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
866,Information and Communication Technologies (ICTs),Computer Games Development,LY707,204,,,,204,,299,7,Letterkenny Institute of Technology,,,,,,,,,,,,,,
868,Information and Communication Technologies (ICTs),Computing,LY717,164,,160,,160,,350,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
869,Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,169,,169,,169,,348,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
871,Health,Pharmacy Technician,LY806,232,,,,232,,377,6,Letterkenny Institute of Technology,,,,,,,,,,,,,,
872,Health,Dental Nursing,LY816,233,,223,,223,,326,6,Letterkenny Institute of Technology,,,,,,,,,,,,,,
873,Biological and related sciences,Bioscience,LY817,248,,,,248,,420,7,Letterkenny Institute of Technology,,,,,,,,,,,,,,
875,Health,Health Science with Physiotherapy Studies,LY826,456,,401,,339,,445,6,Letterkenny Institute of Technology,,,,,,,,,,,,,,
877,Health,Health Science with Occupational Therapy Studies,LY836,473,,408,,278,,451,6,Letterkenny Institute of Technology,,,,,,,,,,,,,,
878,Biological and related sciences,Food Science and Nutrition,LY837,194,,194,,194,,388,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
879,Health,Health Science with Dietetics Studies,LY846,316,,316,,291,,462,6,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
880,Veterinary,Veterinary Nursing,LY847,367,*,367,,367,,399,7,Letterkenny Institute of Technology,,,,,,,,,,,,,,
881,Biological and related sciences,Pharmaceutical & Medicinal Science,LY867,163,,163,,163,,310,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,,,
882,Agriculture,Agriculture,LY877,202,,181,,181,,327,7,Letterkenny Institute of Technology,,,,,,,,,,,,,,
883,Welfare,"Early Childhood Care, Health and Education",LY906,205,,161,,161,,356,6,Letterkenny Institute of Technology,,,,,,,,,,,,,,
885,Health,Health and Social Care,LY916,181,,,,181,,336,6,Letterkenny Institute of Technology,,,,,,,,,,,,,,
948,Information and Communication Technologies (ICTs),Computing,NC102,220,,,,220,,342,6,National College of Ireland (NCI),,,,,,,,,,,,,,
949,Business and administration,Business,NC103,250,,,,250,,327,6,National College of Ireland (NCI),,,,,,,,,,,,,,
950,Information and Communication Technologies (ICTs),Business Computing,NC104,243,,,,243,,423,6,National College of Ireland (NCI),,,,,,,,,,,,,,
951,Education,Montessori Education,NM701,187,,,,187,,407,7,St Nicholas Montessori College Ireland,,,,,,,,,,,,,,
953,Humanities (except languages),Arts and Humanities,PC402,200,,121,,80,,368,7,"Carlow College, St. Patrick`s",,avp,,,,,,,,,,,,
954,Welfare,Applied Social Studies - Professional Social Care,PC404,217,,197,,175,,269,7,"Carlow College, St. Patrick`s",,,,,,,,,,,,,,
962,Business and administration,Business,SG101,160,,160,,160,,336,6,"Institute of Technology, Sligo",,avp,,,,,,,,,,,,
963,Information and Communication Technologies (ICTs),Computing (Level 6 - General Entry),SG102,254,,,,254,,321,6,"Institute of Technology, Sligo",,,,,,,,,,,,,,
964,Information and Communication Technologies (ICTs),Computing - Games Development,SG131,280,,,,280,,378,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
965,Personal services,Applied Sport with Business,SG134,215,,,,215,,337,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
966,Personal services,Business in Tourism with Event Management,SG135,187,,,,187,,338,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
967,Information and Communication Technologies (ICTs),Computing - Software Development,SG136,272,,,,272,,328,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
968,Information and Communication Technologies (ICTs),Computing (Computer Networks and Cloud Infrastructure),SG137,324,,,,326,,367,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
969,Information and Communication Technologies (ICTs),Computing (Level 7 - General Entry),SG138,260,,,,260,,351,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
976,Arts,Fine Art,SG231,449,,449,,449,,556,7,"Institute of Technology, Sligo",#,avp,,,,,,,,,,,,
977,Arts,Creative Design,SG232,273,,,,276,,353,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
978,Arts,Performing Arts (Theatre Design),SG235,319,,,,319,,398,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
979,Arts,Performing Arts (Acting),SG236,235,,,,235,,400,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
994,Engineering and engineering trades,Engineering (General Entry),SG300,209,,,,209,,296,6,"Institute of Technology, Sligo",,,,,,,,,,,,,,
995,Architecture and construction,Construction Economics,SG302,184,,,,184,,256,6,"Institute of Technology, Sligo",,,,,,,,,,,,,,
996,Architecture and construction,Applied Construction Technology,SG308,171,,,,171,,354,6,"Institute of Technology, Sligo",,,,,,,,,,,,,,
997,Engineering and engineering trades,Engineering (General Entry),SG330,243,,,,243,,399,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
998,Architecture and construction,Interior Architecture and Design,SG331,236,,,,236,,378,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
999,Architecture and construction,Advanced Wood and Sustainable Building Technology,SG332,208,,,,208,,338,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1000,Engineering and engineering trades,Mechanical Engineering,SG333,216,,,,216,,347,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1001,Engineering and engineering trades,Mechatronic Engineering,SG334,290,,,,290,,361,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1002,Engineering and engineering trades,Precision Engineering and Design,SG336,309,,,,309,,451,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1003,Architecture and construction,Civil Engineering,SG338,245,,,,245,,443,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1004,Architecture and construction,Quantity Surveying,SG339,195,,,,195,,337,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1010,Biological and related sciences,Science,SG401,209,,209,,209,,288,6,"Institute of Technology, Sligo",,avp,,,,,,,,,,,,
1011,Environment,Environmental Science with Ecology (Level 6),SG404,264,,264,,358,,377,6,"Institute of Technology, Sligo",,avp,v,,,,,,,,,,,
1012,Health,Health and Exercise Science,SG406,367,,,,367,,429,6,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1013,Physical sciences,Pharmaceutical Science with Drug Development,SG431,269,,,,269,,387,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1014,Hygiene and occupational health services,Occupational Safety and Health,SG433,223,,,,223,,360,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1015,Health,Human Nutrition,SG434,280,,,,280,,420,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1016,Health,Health Science and Physiology,SG435,289,,,,289,,409,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1017,Health,Biomedical Science,SG436,262,,,,262,,465,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1018,Biological and related sciences,Forensic Investigation and Analysis,SG437,243,,,,243,,367,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1019,Environment,Environmental Science with Ecology (Level 7),SG439,254,,,,254,,409,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1028,Health,Health and Medical Information Science (Online),SG530,285,,285,,285,,285,7,"Institute of Technology, Sligo",,avp,,,,,,,,,,,,
1029,Business and administration,Business Administration,SG535,228,,,,228,,316,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1030,Business and administration,Business,SG536,223,,,,223,,379,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1031,Business and administration,Marketing and Sales,SG537,234,,,,234,,389,7,"Institute of Technology, Sligo",,,,,,,,,,,,,,
1032,Personal services,Culinary Arts,TL620,189,,189,,189,,308,6,"Institute of Technology, Tralee",,avp,,,,,,,,,,,,
1033,Environment,Science (Biological and Environmental Studies),TL651,223,,223,,233,,434,6,"Institute of Technology, Tralee",,avp,v,,,,,,,,,,,
1034,Health,Pharmacy Technician,TL652,260,,,,260,,348,6,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1035,Arts,"Animation, Visual Effects and Motion Design (Level 7)",TL701,228,,,,228,,443,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1036,Arts,"TV, Radio and New Media (Level 7)",TL702,243,,,,243,,462,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1037,Information and Communication Technologies (ICTs),Computing with Software Development,TL710,232,,,,232,,319,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1038,Information and Communication Technologies (ICTs),Computing with Games Development,TL711,224,,,,224,,301,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1039,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL715,251,,,,251,,368,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1040,Information and Communication Technologies (ICTs),Computer Systems and Networking,TL716,269,,,,269,,338,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1041,Business and administration,Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,219,,,,219,,399,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1042,Agriculture,Agricultural Mechanisation,TL743,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1043,Agriculture,Agricultural Engineering,TL744,243,,,,243,,359,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1044,Architecture and construction,Civil and Environmental Engineering,TL745,261,,261,,145,,355,7,"Institute of Technology, Tralee",,avp,,,,,,,,,,,,
1045,Engineering and engineering trades,Engineering in Mechanical and Manufacturing Engineering,TL747,200,,,,200,,368,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1046,Biological and related sciences,Agricultural Science,TL748,249,,,,249,,398,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1047,Health,Pharmaceutical Science (Degree Award options),TL755,261,,,,261,,433,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1048,Veterinary,Animal Bioscience,TL758,251,,,,261,,380,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1049,Personal services,Health and Leisure (Degree Award Options),TL771,208,,,,208,,370,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1050,Personal services,Health and Leisure with Massage,TL772,218,,,,218,,378,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1051,Personal services,Coaching and Sports Performance,TL773,106,,106,,106,,297,7,"Institute of Technology, Tralee",,avp,,,,,,,,,,,,
1052,Welfare,Early Childhood Care and Education,TL780,234,,,,234,,354,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1053,Welfare,Social Care,TL781,225,,,,225,,318,7,"Institute of Technology, Tralee",,,,,,,,,,,,,,
1201,Health,Dental Nursing,TR801,436,,419,,367,,455,7,Trinity College Dublin,,,,,,,,,,,,,,
1202,Health,Dental Hygiene,TR802,#543,,#511,,#498,,532,7,Trinity College Dublin,#,,,,,,,,,,,543,511,498
1203,Health,Dental Technology,TR803,#531,,#486,,#359,,456,7,Trinity College Dublin,#,,,,,,,,,,,531,486,359
1206,Engineering and engineering trades,Electronic Engineering,TU601,232,,,,230,,326,6,Technological University Dublin,,avp,,,,,,,,,,,,
1207,Engineering and engineering trades,Computer Engineering,TU602,223,,,,223,,330,6,Technological University Dublin,,,,,,,,,,,,,,
1208,Engineering and engineering trades,Mechanical Engineering,TU603,197,,197,,197,,299,6,Technological University Dublin,,avp,,,,,,,,,,,,
1209,Personal services,Bar and Restaurant Management,TU641,223,,,,223,,356,6,Technological University Dublin,,,,,,,,,,,,,,
1210,Personal services,Culinary Arts,TU642,153,,,,153,,244,6,Technological University Dublin,,avp,,,,,,,,,,,,
1211,Personal services,Culinary Arts (Professional Cookery Practice),TU643,236,,,,236,,383,6,Technological University Dublin,,,,,,,,,,,,,,
1212,Personal services,Food Management and Entrepreneurship,TU644,223,,,,223,,456,6,Technological University Dublin,,,,,,,,,,,,,,
1213,Manufacturing and processing,Food Science and Management,TU645,241,,,,243,,390,6,Technological University Dublin,,,,,,,,,,,,,,
1214,Biological and related sciences,Applied Biology,TU651,205,,196,,196,,359,6,Technological University Dublin,,avp,,,,,,,,,,,,
1215,Information and Communication Technologies (ICTs),Computing,TU652,194,,,,194,,265,6,Technological University Dublin,,,,,,,,,,,,,,
1216,Information and Communication Technologies (ICTs),Computing (Information Technology),TU653,245,,,,245,,357,6,Technological University Dublin,,,,,,,,,,,,,,
1217,Health,Pharmacy Technician Studies,TU654,321,,,,321,,420,6,Technological University Dublin,,,,,,,,,,,,,,
1218,Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,410,,335,,335,,459,6,Technological University Dublin,#,avp,,,,,,,,,,,,
1219,Business and administration,Business,TU671,226,,,,228,,403,6,Technological University Dublin,,,,,,,,,,,,,,
1220,Business and administration,Business (Common entry),TU672,180,,179,,179,,274,6,Technological University Dublin,,avp,,,,,,,,,,,,
1221,Business and administration,Business Management,TU673,300,,,,300,,451,6,Technological University Dublin,,,,,,,,,,,,,,
1222,Business and administration,Business Studies,TU674,300,,,,306,,451,6,Technological University Dublin,,,,,,,,,,,,,,
1223,Business and administration,Marketing,TU675,301,,,,301,,412,6,Technological University Dublin,,,,,,,,,,,,,,
1224,Business and administration,Retail Management and Marketing,TU676,290,,,,290,,377,6,Technological University Dublin,,,,,,,,,,,,,,
1225,Engineering and engineering trades,Automation Engineering,TU701,260,,,,261,,368,7,Technological University Dublin,,,,,,,,,,,,,,
1226,Engineering and engineering trades,Biomedical Design,TU702,232,,232,,232,,351,7,Technological University Dublin,,avp,,,,,,,,,,,,
1227,Engineering and engineering trades,Building Engineering,TU703,260,,,,260,,359,7,Technological University Dublin,,,,,,,,,,,,,,
1228,Architecture and construction,Civil Engineering,TU704,262,,,,262,,361,7,Technological University Dublin,,,,,,,,,,,,,,
1229,Engineering and engineering trades,Electrical and Control Engineering,TU705,243,,,,243,,339,7,Technological University Dublin,,,,,,,,,,,,,,
1230,Engineering and engineering trades,Electrical Services Engineering,TU706,244,,,,244,,307,7,Technological University Dublin,,,,,,,,,,,,,,
1231,Engineering and engineering trades,Electronic Engineering,TU707,224,,224,,224,,361,7,Technological University Dublin,,avp,,,,,,,,,,,,
1232,Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,225,,,,225,,360,7,Technological University Dublin,,,,,,,,,,,,,,
1233,Engineering and engineering trades,Engineering (General Entry),TU709,370,,,,370,,487,7,Technological University Dublin,,,,,,,,,,,,,,
1234,Engineering and engineering trades,Engineering Reliability Management,TU710,244,,,,244,,305,7,Technological University Dublin,,,,,,,,,,,,,,
1235,Engineering and engineering trades,Mechatronic Engineering,TU711,223,,,,223,,372,7,Technological University Dublin,,,,,,,,,,,,,,
1236,Engineering and engineering trades,Sustainable Energy and Environmental Engineering,TU712,180,,180,,180,,332,7,Technological University Dublin,,avp,,,,,,,,,,,,
1237,Engineering and engineering trades,Computer Engineering,TU713,221,,,,221,,322,7,Technological University Dublin,,,,,,,,,,,,,,
1238,Engineering and engineering trades,Electronics and Communications Engineering,TU714,264,,,,264,,392,7,Technological University Dublin,,,,,,,,,,,,,,
1239,Engineering and engineering trades,Engineering Software,TU715,181,,181,,181,,391,7,Technological University Dublin,,avp,,,,,,,,,,,,
1240,Engineering and engineering trades,Networking Technology,TU716,241,,,,241,,386,7,Technological University Dublin,,,,,,,,,,,,,,
1241,Engineering and engineering trades,Mechanical Engineering,TU717,300,,,,300,,367,7,Technological University Dublin,,,,,,,,,,,,,,
1242,Engineering and engineering trades,Mechanical Engineering,TU718,198,,198,,198,,338,7,Technological University Dublin,,avp,,,,,,,,,,,,
1243,Manufacturing and processing,"Design,Technology and Innovation",TU719,228,,,,228,,363,7,Technological University Dublin,,,,,,,,,,,,,,
1244,Engineering and engineering trades,Automotive Management and Technology,TU720,232,,,,232,,338,7,Technological University Dublin,,,,,,,,,,,,,,
1245,Engineering and engineering trades,Aviation Technology,TU721,350,,,,352,,434,7,Technological University Dublin,,,,,,,,,,,,,,
1246,Manufacturing and processing,Process Instrumentation and Automation Learn and Work,TU722,292,,292,,401,,499,7,Technological University Dublin,#,avp,v,,,,,,,,,,,
1247,Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,290,,,,290,,372,7,Technological University Dublin,,,,,,,,,,,,,,
1248,Manufacturing and processing,Timber Product Technology,TU732,253,,198,,198,,372,7,Technological University Dublin,,avp,,,,,,,,,,,,
1249,Personal services,Sports Management and Coaching,TU735,270,,,,270,,347,7,Technological University Dublin,,,,,,,,,,,,,,
1250,Biological and related sciences,Sports Science and Health,TU736,410,,391,,391,,455,7,Technological University Dublin,,,,,,,,,,,,,,
1251,Personal services,Baking and Pastry Arts Management,TU741,234,,,,238,,412,7,Technological University Dublin,,,,,,,,,,,,,,
1252,Personal services,Culinary Arts,TU742,155,,155,,155,,319,7,Technological University Dublin,,avp,,,,,,,,,,,,
1253,Personal services,Hospitality Management,TU745,245,,,,245,,357,7,Technological University Dublin,,,,,,,,,,,,,,
1254,Personal services,International Hospitality and Tourism Management,TU746,170,,170,,170,,313,7,Technological University Dublin,,avp,,,,,,,,,,,,
1255,Personal services,Tourism Management,TU747,242,,,,242,,369,7,Technological University Dublin,,,,,,,,,,,,,,
1256,Biological and related sciences,Biosciences,TU751,407,,,,407,,509,7,Technological University Dublin,,,,,,,,,,,,,,
1257,Biological and related sciences,DNA and Forensic Analysis,TU752,390,,,,390,,465,7,Technological University Dublin,,,,,,,,,,,,,,
1258,Physical sciences,Industrial and Environmental Physics,TU754,270,,,,270,,487,7,Technological University Dublin,,,,,,,,,,,,,,
1259,Physical sciences,Science (General Entry),TU755,361,,,,361,,498,7,Technological University Dublin,,,,,,,,,,,,,,
1260,Information and Communication Technologies (ICTs),Computing,TU756,200,,195,,195,,357,7,Technological University Dublin,,avp,,,,,,,,,,,,
1261,Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,225,,,,225,,352,7,Technological University Dublin,,,,,,,,,,,,,,
1262,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,220,,,,220,,337,7,Technological University Dublin,,,,,,,,,,,,,,
1263,Information and Communication Technologies (ICTs),Information Technology Management,TU759,211,,,,211,,330,7,Technological University Dublin,,,,,,,,,,,,,,
1264,Biological and related sciences,Bioanalysis,TU760,204,,204,,204,,327,7,Technological University Dublin,,avp,,,,,,,,,,,,
1265,Health,Ophthalmic Dispensing,TU761,302,,,,319,,434,7,Technological University Dublin,,,,,,,,,,,,,,
1266,Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,364,,,,364,,510,7,Technological University Dublin,,,,,,,,,,,,,,
1267,Biological and related sciences,Pharmaceutical Science,TU763,382,,349,,349,,429,7,Technological University Dublin,,,,,,,,,,,,,,
1268,Business and administration,Business,TU771,224,,,,224,,392,7,Technological University Dublin,,,,,,,,,,,,,,
1269,Business and administration,Business (Common Entry with Award options),TU772,AQA,,227,,AQA,,317,7,Technological University Dublin,,avp,,,,,,,,,,,,
1270,Business and administration,Management,TU774,195,,209,,195,,327,7,Technological University Dublin,,avp,,,,,,,,,,,,
1271,Business and administration,Accounting and Finance,TU775,260,,,,260,,465,7,Technological University Dublin,,,,,,,,,,,,,,
1272,Business and administration,Accounting and Finance,TU776,182,,175,,175,,337,7,Technological University Dublin,,avp,,,,,,,,,,,,
1273,Business and administration,Business and Information Technology,TU777,244,,,,244,,352,7,Technological University Dublin,,,,,,,,,,,,,,
1274,Business and administration,International Business,TU778,224,,,,226,,423,7,Technological University Dublin,,,,,,,,,,,,,,
1275,Business and administration,International Business,TU779,180,,180,,180,,368,7,Technological University Dublin,,avp,,,,,,,,,,,,
1276,Business and administration,Advertising and Marketing Communications,TU780,179,,179,,179,,366,7,Technological University Dublin,,avp,,,,,,,,,,,,
1277,Business and administration,Digital Marketing,TU781,220,,,,220,,326,7,Technological University Dublin,,,,,,,,,,,,,,
1278,Business and administration,Digital Marketing,TU782,179,,179,,179,,287,7,Technological University Dublin,,avp,,,,,,,,,,,,
1279,Business and administration,Marketing,TU783,189,,189,,189,,360,7,Technological University Dublin,,avp,,,,,,,,,,,,
1280,Welfare,Applied Social Studies in Social Care,TU791,320,,,,320,,378,7,Technological University Dublin,,,,,,,,,,,,,,
1281,Social and behavioural sciences,Community and Youth Development,TU792,101,,250,,101,,288,7,Technological University Dublin,,avp,,,,,,,,,,,,
1282,Welfare,Early Childhood Care and Education,TU793,220,,,,220,,386,7,Technological University Dublin,,,,,,,,,,,,,,
1283,Welfare,Early Childhood Care and Education,TU794,390,,250,,230,,376,7,Technological University Dublin,,,,,,,,,,,,,,
1284,Arts,Visual Merchandising and Display,TU795,481,,,,481,,763,7,Technological University Dublin,#,,,,,,,,,,,,,
1285,Arts,Creative Digital Media,TU796,225,,,,225,,383,7,Technological University Dublin,,,,,,,,,,,,,,
1401,Business and administration,Business,WD003,AQA,,171,,AQA,,372,6,Waterford Institute of Technology,,avp,,,,,,,,,,,,
1405,Engineering and engineering trades,Electronic Engineering,WD010,181,,,,181,,318,6,Waterford Institute of Technology,,,,,,,,,,,,,,
1406,Engineering and engineering trades,Mechanical Engineering,WD011,198,,,,198,,341,6,Waterford Institute of Technology,,,,,,,,,,,,,,
1407,Law,Legal Studies,WD013,177,,,,177,,367,6,Waterford Institute of Technology,,,,,,,,,,,,,,
1408,Welfare,Applied Social Care,WD018,171,,,,171,,293,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1409,Personal services,Recreation and Sport Management,WD019,174,,,,174,,309,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1413,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,WD076,243,,,,243,,326,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1416,Architecture and construction,Architectural Technology,WD094,166,,150,,150,,351,7,Waterford Institute of Technology,,avp,,,,,,,,,,,,
1417,Agriculture,Horticulture (Waterford - Kildalton),WD096,260,,,,260,,389,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1418,Agriculture,Horticulture (Dublin - National Botanic Gardens),WD097,AQA,,,,AQA,,408,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1422,Agriculture,Agriculture,WD126,327,,,,327,,430,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1425,Architecture and construction,Civil Engineering,WD139,206,,,,206,,379,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1431,Information and Communication Technologies (ICTs),Software Systems Development,WD151,AQA,,AQA,,AQA,,356,7,Waterford Institute of Technology,,avp,,,,,,,,,,,,
1433,Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,163,,,,163,,353,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1434,Information and Communication Technologies (ICTs),Information Technology,WD155,211,,,,211,,338,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1435,Business and administration,Business,WD159,195,,,,195,,388,7,Waterford Institute of Technology,,,,,,,,,,,,,,
