,Course Code,INSTITUTION and COURSE,pointsR1,pointsR2,Round_1_Points,Round_2_Points
73,CR112,Creative Digital Media at CIT Crawford College of,390,,390,
74,CR116,Computer Systems,365,,365,
75,CR121,Music at CIT Cork School of Music,#904,#904,904,904
76,CR125,Popular Music at CIT Cork School of Music,#1028,,1028,
77,CR130,Musical Theatre at CIT Cork School of Music,#525,,525,
78,CR150,Business Information Systems,350,,350,
79,CR210,Contemporary Applied Art (Ceramics  Glass  Textile,#450,,450,
80,CR220,Fine Art at CIT Crawford College of Art and Design,#400,,400,
81,CR225,Photography with New Media at CIT Crawford College,#435,,435,
82,CR305,Physical Sciences (Common Entry),260,,260,
83,CR310,IT Management,347,,347,
84,CR320,Biomedical Science - Offered jointly by CIT and UC,590*,,590,
85,CR325,Pharmaceutical Biotechnology,466,,466,
86,CR333,Nutrition and Health Science,425,,425,
87,CR335,Biological Sciences (Common Entry),473,,473,
88,CR340,Analytical Chemistry with Quality Assurance,327,,327,
89,CR360,Instrument Engineering,301,,301,
90,CR365,Environmental Science and Sustainable Technology,262,,262,
91,CR370,Agri-Biosciences,368,,368,
92,CR400,Accounting,315,,315,
93,CR420,Marketing,290,,290,
94,CR425,International Business with Language,279,,279,
95,CR430,Sport and Exercise Management,402,,402,
96,CR435,Coaching Science and Sports Pedagogy,410,,410,
97,CR440,Montessori Education,409,408,409,408
98,CR500,Engineering (Common Entry),475,,475,
99,CR510,Sustainable Energy Engineering,320,,320,
100,CR520,Biomedical Engineering,444,,444,
101,CR560,Architectural Technology,375,,375,
102,CR565,Interior Architecture,431,,431,
103,CR570,Quantity Surveying,375,,375,
104,CR572,Construction Management,300,,300,
105,CR580,Electrical Engineering,342,,342,
106,CR590,Electronic Engineering,329,,329,
107,CR600,Visual Communications at CIT Crawford College of A,#280,,280,
108,CR660,Tourism Management,246,,246,
109,CR700,Theatre and Drama Studies at CIT Cork School of Mu,#609,#609,609,609
110,CR930,Home Economics and Business,518*,,518,
111,CK101,Arts - 3 years,300,,300,
112,CK102,Social Science,434,431,434,431
113,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#339,,339,
114,CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420*,421,420
115,CK107,Geographical and Archaeological Sciences - 3 or 4,312,,312,
116,CK108,Arts International - 4 years,440*,440,440,440
117,CK109,English - 3 years or 4 years (International Pathwa,367,357,367,357
118,CK110,World Languages,488,,488,
119,CK111,Early Years and Childhood Studies,409,403,409,403
120,CK112,Theatre and Performative Practices - 3 or 4 years,#371,,371,
121,CK113,Criminology - 3 years or 4 years (International Pa,464,463,464,463
122,CK114,Social Science (Youth and Community Work),#,,,
123,CK115,Social Work - Mature Applicants only,,,,
124,CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,339,347,339
125,CK120,Applied Psychology,544,543*,544,543
126,CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,488,499,488
127,CK122,Government and Political Science,399,,399,
128,CK123,Anthropology,308,,308,
129,CK124,Education - Gaeilge,473,,473,
130,CK125,Sports Studies and Physical Education,564,555*,564,555
131,CK201,Commerce,500,499*,500,499
132,CK202,Accounting,553,543*,553,543
133,CK203,Business Information Systems,455,452,455,452
134,CK204,Finance,566*,566*,566,566
135,CK205,Commerce (International) with French,465,,465,
136,CK206,Commerce (International) with German,466,455,466,455
137,CK207,Commerce (International) with Italian,423,418,423,418
138,CK208,Commerce (International) with Hispanic Studies,488,486,488,486
139,CK209,Commerce (International) with Irish,507,,507,
140,CK211,Commerce (International) with Chinese Studies,385,,385,
141,CK212,Economics (through Transformational Learning) 3 or,445,444,445,444
142,CK213,Food Marketing and Entrepreneurship,466,,466,
143,CK214,International Development,332,,332,
144,CK301,Law (Pathways) -  3 or 4 years,533,532*,533,532
145,CK302,Law and French,545,,545,
146,CK304,Law and Irish,588,,588,
147,CK307,Law and Business,589*,589*,589,589
148,CK401,Computer Science,503,495,503,495
149,CK402,Biological and Chemical Sciences,555*,555,555,555
150,CK404,Biological  Earth and Environmental Sciences,500,495*,500,495
151,CK405,Genetics,543,,543,
152,CK406,Chemical Sciences,532,,532,
153,CK407,Mathematical Sciences,566,,566,
154,CK408,Physics and Astrophysics,566,,566,
155,CK409,Industrial Physics - Offered jointly by UCC and CI,465,,465,
156,CK411,Data Science and Analytics,531,,531,
157,CK412,Agricultural Science,506,,506,
158,CK504,Nutritional Sciences,555,554*,555,554
159,CK505,Food Science,463,,463,
160,CK600,Engineering,510,509*,510,509
161,CK606,Architecture - Offered jointly by UCC and CIT,543,,543,
162,CK701,Medicine (Undergraduate Entry - HPAT required),#738,#737*,738,737
163,CK702,Dentistry,625*,625*,625,625
164,CK703,Pharmacy,613*,613*,613,613
165,CK704,Occupational Therapy,601*,,601,
166,CK705,Speech and Language Therapy,568,566*,568,566
167,CK706,Public Health Sciences,500,,500,
168,CK707,Medical and Health Sciences,578*,,578,
169,CK710,General Nursing,498*,497*,498,497
170,CK712,Children`s and General Nursing (Integrated),565,,565,
171,CK720,Mental Health Nursing,455,452,455,452
172,CK730,Intellectual Disability Nursing,431,,431,
173,CK740,Midwifery,509*,,509,
174,CK791,Medicine  - Graduate Entry (GAMSAT required),#60*,#60*,60,60
175,AC120,International Business,294,294,294,294
176,AC137,Liberal Arts,271,270,271,270
177,CT125,Computing and IT,242,242,242,242
178,CT325,Business,253,253,253,253
179,CM001,Education - Primary Teaching,508,,508,
180,CM002,Education - Primary Teaching - Gaeltacht Applicant,#462,,462,
181,CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,#513,,513,
182,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#480,,480,
183,CM010,Education Studies,382,327,382,327
184,CM020,Early Childhood Education,317,,317,
185,DB500,Computing,234,234,234,234
186,DB501,Computing (Cloud Computing),,178,,178
187,DB502,Computing (Data Analytics and Big Data),267,233,267,233
188,DB503,Computing (Software Development),,,,
189,DB504,Computing (Web and Mobile Technology),,,,
190,DB510,Audio Production and Music Project Management,217,217,217,217
191,DB512,Business Studies,243,210,243,210
192,DB514,Business Studies (Law),239,225,239,225
193,DB515,Business Studies (Human Resource Management),242,217,242,217
194,DB517,Marketing (Event Management),233,225,233,225
195,DB518,Marketing (Digital Media),307,209,307,209
196,DB521,Accounting and Finance,243,228,243,228
197,DB524,Business (Information Systems),247,239,247,239
198,DB525,Marketing (Digital Media and Cloud Computing),288,288,288,288
199,DB526,Business (Cloud Computing),244,244,244,244
200,DB527,Applied Social Care,254,219,254,219
201,DB531,Marketing,288,176,288,176
202,DB562,Psychology,244,233,244,233
203,DB566,Social Science,262,228,262,228
204,DB567,Film and Creative Media,245,213,245,213
205,DB568,Law,254,228,254,228
206,DB569,Business (Psychology),240,240,240,240
207,DC001,Education - Early Childhood Education,445,,445,
208,DC002,Education - Primary Teaching,518*,,518,
209,DC003,Education - Primary Teaching - Gaeltacht Applicant,#489,,489,
210,DC004,Education - Primary Teaching (Church of Ireland Ce,#451,,451,
211,DC009,Arts (Joint Honours) - Humanities,356,,356,
212,DC010,Post Primary Teacher Education - Religious Educati,384,,384,
213,DC011,Post Primary Teacher Education - Religious Educati,409,,409,
214,DC012,Post Primary Teacher Education - Religious Educati,409,,409,
215,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,,413,
216,DC014,BA in Jazz and Contemporary Music Performance (aud,#311,,311,
217,DC110,Business Studies International,498,,498,
218,DC111,Business Studies,511,,511,
219,DC112,Global Business (France),542*,,542,
220,DC113,Global Business (Germany),484,,484,
221,DC114,Global Business (Spain),544,,544,
222,DC115,Accounting and Finance,544,,544,
223,DC116,Global Business (USA),613*,,613,
224,DC117,Aviation Management / Aviation Management with Pil,484,,484,
225,DC118,Gná agus Gaeilge / Business and Irish,368,,368,
226,DC119,Global Business (Canada),601,,601,
227,DC120,Computing for Business,403,402,403,402
228,DC121,Computer Science,475,,475,
229,DC123,Data Science,501,,501,
230,DC126,Actuarial Mathematics,577*,,577,
231,DC127,Common Entry into Actuarial and Financial Mathemat,541,,541,
232,DC131,Communication Studies,421,,421,
233,DC132,Journalism,452,,452,
234,DC133,Multimedia,435,,435,
235,DC155,Applied Language and Translation Studies,427,,427,
236,DC161,Analytical Science,498,,498,
237,DC162,Chemical and Pharmaceutical Sciences,531*,,531,
238,DC163,Chemical Sciences General Entry (Undenominated Ent,466*,,466,
239,DC166,Environmental Science and Technology,423*,,423,
240,DC168,Genetics and Cell Biology,543*,,543,
241,DC175,Physics General Entry (options),400,,400,
242,DC180,Biological Sciences General Entry (Undenominated E,530,,530,
243,DC181,Biotechnology,530,,530,
244,DC190,Electronic and Computer Engineering (with choice o,488,,488,
245,DC193,Mechatronic Engineering,490,,490,
246,DC194,Sustainable Systems and Energy,476,,476,
247,DC195,Mechanical and Manufacturing Engineering,500,,500,
248,DC197,Biomedical Engineering,510,,510,
249,DC200,Common Entry into Engineering (Undenominated Entry,511,510,511,510
250,DC202,Sport Science and Health,511,,511,
251,DC203,Science Education,462,,462,
252,DC204,Athletic Therapy and Training,558,,558,
253,DC205,Physical Education with Biology,565,,565,
254,DC206,Physical Education with Mathematics,521,,521,
255,DC207,Psychology and Mathematics,521,,521,
256,DC208,Psychology,565,,565,
257,DC209,Health and Society,477,,477,
258,DC210,Psychology and Disruptive Technologies,506,,506,
259,DC215,General Nursing,456*,,456,
260,DC216,Mental Health Nursing,420,,420,
261,DC217,Intellectual Disability Nursing,382,,382,
262,DC218,Children`s and General Nursing (Integrated),521*,,521,
263,DC230,Economics  Politics and Law,431,,431,
264,DC231,International Relations,398,,398,
265,DC232,Law and Society (BCL),469,,469,
266,DC235,Education and Training - Daytime and Flexible Deli,302,,302,
267,DC238,Social Sciences and Cultural Innovation,387,,387,
268,DC240,Marketing  Innovation and Technology,499,,499,
269,DC241,Digital Business and Innovation,509,,509,
270,DC291,Arts (Joint Honours) - Media Studies,350,,350,
271,DC292,Arts (Joint Honours) - Law,400,,400,
272,DC293,Arts (Joint Honours) - International Languages,379,,379,
273,DC294,Climate and Environmental Sustainability,475,,475,
274,DC295,Arts (Joint Honours) - Politics,349,,349,
275,DL822,Arts Management,254,,254,
276,DL823,Business Management,220,,220,
277,DL825,Applied Psychology,418,413,418,413
278,DL826,Graphic Design,#591,,591,
279,DL827,Art,#574,,574,
280,DL832,Animation,#989,,989,
281,DL833,Photography and Visual Media,#671,#671,671,671
282,DL836,Creative Computing,235,,235,
283,DL837,New Media Studies,298,293,298,293
284,DL838,Creative Music Production,#713,,713,
285,DL839,Interaction and User Experience Design,#757,,757,
286,DL840,Digital Marketing,210,,210,
287,DL841,English and Equality Studies,277,277,277,277
288,DL843,Film,#987,#874,987,874
289,DL844,Television,#566,,566,
290,DL845,Design for Film (degree options),#628,,628,
291,GC200,Business,269,242,269,242
292,GC201,Accounting and Finance,260,226,260,226
293,GC230,Computing Science,300,289,300,289
294,GC300,Business,264,264,264,264
295,GC301,Accounting and Finance,,251,,251
296,GC302,Business - HRM,377,377,377,377
297,GC307,Business (Marketing),289,270,289,270
298,GC400,Business,250,228,250,228
299,GC401,Accounting and Finance,242,242,242,242
300,GC402,Business (HRM),,,,
301,GC403,Law,245,242,245,242
302,GC407,Business (Marketing),264,264,264,264
303,GC430,Computing Science,251,251,251,251
304,GC450,Communications and Media Production,225,225,225,225
305,GC462,Design Communication (portfolio),#300,,300,
306,GC489,Interior Architecture (portfolio),#288,#274,288,274
307,GC494,Fashion Design (portfolio),#351,,351,
308,BY001,Business,210,210,210,210
309,ID001,Accounting and Finance,,,,
310,ID002,Business Studies,,,,
311,AD101,First Year Art and Design (Common Entry portfolio),#554,,554,
312,AD102,Graphic Design and Moving Image Design (portfolio),#538,,538,
313,AD103,Textile and Surface Design and Jewellery and Objec,#505,,505,
314,AD202,Education and Design or Fine Art (Second Level Tea,#591,,591,
315,AD204,Fine Art (portfolio),#514,,514,
316,AD211,Fashion Design (portfolio),#760,#679,760,679
317,AD212,Product Design (portfolio),#413,,413,
318,AD215,Visual Culture,337,300,337,300
319,AD217,Illustration (portfolio),#738,,738,
320,AD222,Interaction Design (portfolio),#444,,444,
321,NC003,Computing (Degree Award options),271,,271,
322,NC005,Human Resource Management,301,,301,
323,NC009,Business,300,,300,
324,NC010,Psychology,420,,420,
325,NC020,Marketing Practice,270,,270,
326,NC022,Accounting and Finance,330,,330,
327,NC023,Technology Management (with specialisations),266,,266,
328,NC030,Early Childhood Education and Care,251,251,251,251
329,RC001,Medicine - Undergraduate Entry (HPAT required),#741,#740*,741,740
330,RC004,Physiotherapy,589*,589*,589,589
331,RC005,Pharmacy,613*,613,613,613
332,RC101,Medicine - Graduate Entry (GAMSAT required),,,,
333,NM801,Montessori Education,262,,262,
334,NM802,Psychology,228,,228,
335,TU801,Sustainable Energy Engineering,235,,235,
336,TU802,Electrical Services and Energy Management,309,,309,
337,TU804,Engineering (Common Entry with Award options),270,,270,
338,TU805,Engineering (General Entry),466,465,466,465
339,TU807,Computer Engineering in Mobile Systems,274,,274,
340,TU810,Mechatronic Engineering,271,,271,
341,TU811,Product Design,440,434,440,434
342,TU812,Design Technology and Innovation,278,,278,
343,TU814,Sustainable Transport Management,253,253,253,253
344,TU828,Mechanical Engineering (General Entry),300,,300,
345,TU829,Electronic Engineering (General Entry),248,248,248,248
346,TU831,Architectural Technology,423,,423,
347,TU832,Architecture (Suitability Test and Interview),#644,#638,644,638
348,TU833,Construction Management,396,,396,
349,TU834,Geographic Science,315,,315,
350,TU835,Planning and Environmental Management,330,,330,
351,TU836,Property Economics (Valuation Surveying),411,,411,
352,TU837,Quantity Surveying and Construction Economics,413,,413,
353,TU838,Sustainable Timber Technology,307,271,307,271
354,TU851,Analytical Chemistry (Environmental  Forensic and,400,,400,
355,TU852,Chemical Sciences with Medicinal Chemistry,477,,477,
356,TU854,Science (General Entry),510,,510,
357,TU855,Science with Nanotechnology,322,,322,
358,TU856,Computer Science,499,,499,
359,TU857,Computer Science (Infrastructure),403,,403,
360,TU858,Computer Science (International),395,,395,
361,TU859,Computing,251,,251,
362,TU860,Computing (Information Technology),270,,270,
363,TU861,Computing with Language (French/German/Spanish),235,235,235,235
364,TU862,Computing with Artificial Intelligence Machine Lea,262,,262,
365,TU863,Digital Forensics and Cyber Security,282,,282,
366,TU864,DNA and Forensic Analysis,500,441,500,441
367,TU865,Cloud Computing,235,,235,
368,TU866,Biomedical and Molecular Diagnostics,522,,522,
369,TU867,Biomedical Science,576,566*,576,566
370,TU868,Clinical Measurement Science,542,,542,
371,TU869,Environmental Health,387,,387,
372,TU870,Human Nutrition and Dietetics,601*,,601,
373,TU871,Optometry,532,,532,
374,TU872,Public Health Nutrition,487,,487,
375,TU874,Mathematical Sciences,294,294,294,294
376,TU875,Pharmaceutical Healthcare,451,,451,
377,TU876,Pharmaceutical Science,445,,445,
378,TU877,Physics Technology,314,314,314,314
379,TU878,Physics with Energy and Environment,339,,339,
380,TU879,Physics with Medical Physics and Bioengineering,346,,346,
381,TU880,Physics with Data Science,412,,412,
382,TU881,Food Innovation,309,,309,
383,TU882,Nutraceuticals in Health and Nutrition,380,,380,
384,TU902,Business (options),270,,270,
385,TU903,Business and Management,477,,477,
386,TU904,Business and Law,462,,462,
387,TU905,Economics and Finance,460,,460,
388,TU906,Human Resource Management,386,377,386,377
389,TU907,Logistics and Supply Chain Management,300,,300,
390,TU910,Accounting,420,,420,
391,TU912,Business Analytics,331,311,331,311
392,TU914,Business Computing,322,,322,
393,TU917,Law (LLB ) with a Language,356,,356,
394,TU918,Law (LLB),463,,463,
395,TU919,Advertising and Marketing Communications,219,,219,
396,TU920,Digital Marketing,270,,270,
397,TU921,Digital Marketing Technologies,230,,230,
398,TU922,Marketing,412,,412,
399,TU924,E-Commerce in Retailing,307,,307,
400,TU925,Retail and Services Management,307,,307,
401,TU932,Business (options),211,,211,
402,TU933,Accounting and Finance (campus options),251,,251,
403,TU935,Sports Management and Coaching,300,,300,
404,TU936,Sports Science and Health,484,,484,
405,TU941,Botanical Cuisine,311,,311,
406,TU942,Culinary Arts,252,,252,
407,TU943,Culinary Entrepreneurship,261,,261,
408,TU944,Culinary Science,336,,336,
409,TU951,International Hospitality and Tourism Management,244,,244,
410,TU952,International Hospitality Management,309,,309,
411,TU953,Tourism and Digital Marketing,308,,308,
412,TU954,Event Management,326,,326,
413,TU955,Sports and Leisure Management,275,,275,
414,TU961,Commercial Modern Music (BIMM - assessment/auditio,#536,#536,536,536
415,TU962,Drama (Performance  audition),#448,,448,
416,TU963,Music (audition),#364,,364,
417,TU965,International Business and Languages,357,,357,
418,TU967,Languages and International Tourism,298,,298,
419,TU973,Design - Visual Communication (portfolio),#700,,700,
420,TU974,Fine Art (portfolio),#549,,549,
421,TU975,Interior Design (portfolio),#544,,544,
422,TU976,Photography (portfolio),#700,,700,
423,TU978,Creative Industries and Visual Culture,299,,299,
424,TU981,Creative Digital Media,280,,280,
425,TU982,Media Production and Digital Arts,369,,369,
426,TU983,Film and Broadcasting,462,453,462,453
427,TU984,Game Design,414,,414,
428,TU985,Journalism,367,,367,
429,TU989,Early Childhood Care and Education (campus options,270,,270,
430,TU991,Applied Social Studies in Social Care,326,,326,
431,TU992,Community Development and Youth Work,251,,251,
432,TU995,Early Childhood Education,378,,378,
433,TU996,Social Care,407,,407,
434,TU997,Applied Social Care,320,,320,
435,TR002,Music,508,477*,508,477
436,TR003,History,552,543*,552,543
437,TR004,Law,590*,589,590,589
438,TR005,Philosophy,510,497,510,497
439,TR006,Psychology,601*,590,601,590
440,TR007,Clinical Speech and Language Studies,564*,,564,
441,TR009,Music Education,#496,#486,496,486
442,TR015,Philosophy  Political Science  Economics and Socio,613*,613*,613,613
443,TR016,Deaf Studies,389,,389,
444,TR018,Law and French,602*,602,602,602
445,TR019,Law and German,577,567,577,567
446,TR021,Classics  Ancient History and Archaeology,467,462,467,462
447,TR022,Early and Modern Irish,377,,377,
448,TR023,English Studies,546,541*,546,541
449,TR024,European Studies,566,,566,
450,TR025,Drama and Theatre Studies,#543,#519,543,519
451,TR028,Ancient and Medieval History and Culture,498,463,498,463
452,TR031,Mathematics,579,578,579,578
453,TR032,Engineering,556,555,556,555
454,TR033,Computer Science,566*,549,566,549
455,TR034,Management Science and Information Systems Studies,625*,625*,625,625
456,TR035,Theoretical Physics,590,589*,590,589
457,TR038,Engineering with Management,589*,589*,589,589
458,TR039,Computer Science  Linguistics and a Language,443,,443,
459,TR040,Middle Eastern and European Languages and Cultures,520,499,520,499
460,TR041,Religion,417,,417,
461,TR042,Film,531,522,531,522
462,TR043,History of Art and Architecture,498,486,498,486
463,TR051,Medicine (HPAT required),#743*,#743*,743,743
464,TR052,Dental Science,625*,625*,625,625
465,TR053,Physiotherapy,590*,,590,
466,TR054,Occupational Therapy,578*,577*,578,577
467,TR055,Radiation Therapy,577,566,577,566
468,TR056,Human Health and Disease,601*,,601,
469,TR060,Biological and Biomedical Sciences,578*,577*,578,577
470,TR061,Chemical Sciences,558,554*,558,554
471,TR062,Geography and Geoscience,495,,495,
472,TR063,Physical Sciences,554,543,554,543
473,TR064,Environmental Science and Engineering,555,,555,
474,TR072,Pharmacy,613*,613*,613,613
475,TR080,Global Business,613*,,613,
476,TR081,Business  Economic and Social Studies (BESS),577,567*,577,567
477,TR084,Social Studies (Social Work),497,487*,497,487
478,TR085,Business Studies and French,564,,564,
479,TR086,Business Studies and German,530,,530,
480,TR087,Business Studies and Russian,487,,487,
481,TR089,Business Studies and Polish,391,,391,
482,TR090,Business Studies and Spanish,566,,566,
483,TR091,General Nursing (Meath and St James`s),462,456*,462,456
484,TR093,General Nursing (Adelaide School of Nursing),#473,,473,
485,TR095,Mental Health Nursing,442,,442,
486,TR097,Intellectual Disability Nursing,412,410,412,410
487,TR911,Children`s and General Nursing (Integrated),531*,,531,
488,TR913,Midwifery,521,,521,
489,DN100,Architecture,555,,555,
490,DN120,Landscape Architecture,463,435,463,435
491,DN130,City Planning and Environmental Policy,445,424,445,424
492,DN150,Engineering (Common Entry),565*,,565,
493,DN200,Science (options),577,567,577,567
494,DN201,Computer Science (Common Entry),554,549,554,549
495,DN230,Actuarial and Financial Studies,613*,613*,613,613
496,DN240,Sustainability,510,,510,
497,DN250,Agricultural Science (options),454,444,454,444
498,DN261,Food Science,531,,531,
499,DN262,Human Nutrition,566,,566,
500,DN300,Veterinary Medicine - Undergraduate Entry,#601*,,601,
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,
502,DN310,Veterinary Nursing,521,509,521,509
503,DN400,Medicine - Undergraduate Entry (HPAT required),#743*,,743,
504,DN401,Medicine - Graduate Entry (GAMSAT required),#61*,,61,
505,DN410,Radiography,566*,566*,566,566
506,DN411,Radiography - Graduate Entry,#,,,
507,DN420,Physiotherapy,601*,601*,601,601
508,DN425,Health and Performance Science,544,543,544,543
509,DN430,Sport and Exercise Management,484,476,484,476
510,DN440,Biomedical  Health and Life Sciences,613*,613*,613,613
511,DN450,General Nursing,462*,,462,
512,DN451,Children`s and General Nursing (Integrated),533,,533,
513,DN452,Midwifery,510,509*,510,509
514,DN453,Mental Health Nursing,442,,442,
515,DN520,Joint Honours (options),381,378,381,378
516,DN530,Humanities (options),397,388,397,388
517,DN541,Modern Languages (options),320,,320,
518,DN600,Law (options),576,567*,576,567
519,DN610,Business and Law,573,567,573,567
520,DN650,Commerce,555,,555,
521,DN660,Commerce International (options),555,554*,555,554
522,DN670,Economics and Finance,625*,625,625,625
523,DN700,Social Sciences (options),475,474,475,474
524,DN710,Economics,534,532*,534,532
525,DN720,Psychology,566,564,566,564
526,DN750,Social Policy and Sociology,421,,421,
527,DK810,Accounting and Finance,307,307,307,307
528,DK816,Business Studies,301,301,301,301
529,DK820,Computing in Games Development,309,309,309,309
530,DK821,Computing in Software Development,320,316,320,316
531,DK822,Augmented and Virtual Reality,320,320,320,320
532,DK830,Building Surveying,305,,305,
533,DK831,Architectural Technology,368,314,368,314
534,DK832,Construction Management,358,305,358,305
535,DK843,Engineering (Common Entry),404,391,404,391
536,DK844,Mechanical Engineering,336,336,336,336
537,DK845,Electrical and Electronic Engineering,331,331,331,331
538,DK846,Civil Engineering,371,371,371,371
539,DK850,International Tourism Management,303,303,303,303
540,DK861,Arts,302,302,302,302
541,DK862,Social Care,322,319,322,319
542,DK863,Creative Media,336,320,336,320
543,DK864,Film and Television Production,308,,308,
544,DK865,Audio and Music Production,352,,352,
545,DK870,General Nursing,440*,440*,440,440
546,DK872,Intellectual Disability Nursing,367,366,367,366
547,DK874,Mental Health Nursing,398,,398,
548,DK876,Early Childhood Studies,300,,300,
549,DK877,Midwifery,482,477,482,477
550,DK880,Health and Physical Activity,301,,301,
551,DK882,Agriculture (Award options),342,,342,
552,DK883,Science (Award options),373,368,373,368
553,DK884,Sustainable Agriculture,348,,348,
554,DK885,Agri-Food Production,,,,
555,DK886,Biopharmaceutical Science,379,,379,
556,DK887,Environmental Science,377,,377,
557,GA181,Accounting,303,,303,
558,GA182,Business,285,,285,
559,GA183,Business Information Systems,298,,298,
560,GA184,Marketing and Sales,300,,300,
561,GA185,Finance and Economics,318,,318,
562,GA186,Business with Entrepreneurship,287,,287,
563,GA187,Rural Enterprise and Agri-Business,291,,291,
564,GA281,Film and Documentary,310,301,310,301
565,GA282,Heritage Studies,252,,252,
566,GA283,Contemporary Art (portfolio),#790,,790,
567,GA284,Design,331,,331,
568,GA285,Education (Art  Design and Graphics),406,,406,
569,GA380,International Hotel Management,218,,218,
570,GA381,International Tourism Management,252,,252,
571,GA382,Culinary and Gastronomic Science,235,,235,
572,GA384,Event Management with Public Relations,230,,230,
573,GA480,Construction Management,302,,302,
574,GA482,Quantity Surveying and Construction Economics,304,,304,
575,GA483,Architectural Technology,281,273,281,273
576,GA484,Civil Engineering,377,,377,
577,GA580,Software and Electronic Engineering,300,,300,
578,GA680,Mechanical Engineering,400,,400,
579,GA681,Energy Engineering,312,,312,
580,GA682,Biomedical Engineering,331,,331,
581,GA683,Agricultural Engineering,304,,304,
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,413,
583,GA685,Manufacturing Engineering Design,336,,336,
584,GA780,Applied Freshwater and Marine Biology,366,,366,
585,GA781,Applied Biology and Biopharmaceutical Science,381,,381,
586,GA782,Chemical and Pharmaceutical Science,356,,356,
