Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
GA380,International Hotel Management,218,,242,,242,225,226
GA381,International Tourism Management,252,,278,,278,261,260
GA382,Culinary and Gastronomic Science,235,,206,,206,225,244
GA384,Event Management with Public Relations,230,,212,,212,209,209
GA480,Construction Management,302,,260,,260,260,261
GA482,Quantity Surveying and Construction Economics,304,,288,,288,280,270
GA483,Architectural Technology,281,273,265,,265,251,253
GA484,Civil Engineering,377,,290,,290,270,280
GA580,Software and Electronic Engineering,300,,300,,300,301,260
GA680,Mechanical Engineering,400,,330,,330,336,330
GA681,Energy Engineering,312,,293,,293,281,260
GA682,Biomedical Engineering,331,,313,,313,331,355
GA683,Agricultural Engineering,304,,309,,309,301,305
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,340,,340,346,340
GA685,Manufacturing Engineering Design,336,,309,,309,,
GA780,Applied Freshwater and Marine Biology,366,,327,,327,300,306
GA781,Applied Biology and Biopharmaceutical Science,381,,337,,337,317,317
GA782,Chemical and Pharmaceutical Science,356,,336,,336,307,308
GA783,Physics and Instrumentation,301,,363,,363,373,305
GA784,Science (Undenominated),445,,372,,372,327,332
GA785,Medical Science,517,510,473,,473,451,451
GA786,Forensic Science and Analysis,408,,317,,317,300,316
GA787,Computing in Software Development,310,,270,,270,275,280
GA788,Computing and Digital Media,270,,274,,282,270,272
GA789,Agriculture and Environmental Management,340,,287,,289,297,301
GA790,Sport and Exercise Science,376,366,356,,356,350,377
GA791,Public Health Nutrition,368,,368,,368,364,350
GA880,General Nursing,440,,429,422,422,389*,399*
GA882,Psychiatric Nursing,369,,367,,367,346,336
GA885,Outdoor Education,269,,252,,252,210,176
GA887,History and Geography,201,,244,,244,228,228
GA889,Applied Social Care,265,,266,,266,260,270
GA890,Early Childhood Education and Care,281,227,270,,270,278,
GA891,Geography and Outdoor Education,261,,244,,244,,
GA892,Community Development and Youth Work (Level 8),,,,,,,
GA980,Education (Design Graphics and Construction),410,,377,,377,376,391
GA981,Furniture Design and Manufacture,346,,,,,271,271
GA982,Furniture Making and Architectural Woodworking,360,,,,,270,245
GA983,Furniture and Digital Manufacturing,,,,,,,
GA984,Furniture Design  Making and Technology - Common E,486,467,284,,284,,
GY101,Arts (Joint-Honours),327,326,300,,300,300,300
GY104,BSc (Psychology),564,555,523,520,519,507,500
GY105,Arts (History),357,,301,,301,318,301
GY109,Arts (Mathematics and Education),413,,403,,403,411,403
GY110,Arts (Children and Youth Studies - options),387,,357,,357,382,384
GY111,Arts (English and Creative Writing),421,420,330,,330,402,420
GY113,Arts with Human Rights,413,,368,,368,338,320
GY115,Arts with Performing Arts Studies,300,,387,,387,328,319
GY118,Arts (Drama  Theatre and Performance Studies),453,430,451,,451,410,406
GY119,Arts (Journalism),484,473,400,,400,410,388
GY122,Na Dána (Cumarsáid agus Gaeilge),410,,361,,361,308,301
GY123,Applied Social Sciences,419,,358,,358,357,350
GY125,Arts (Digital Arts and Technology),403,,328,,328,324,361
GY127,Arts (Film and Digital Media),430,421,401,,401,387,420
GY128,Arts (Global Languages),346,,352,,352,370,429
GY129,Arts (Global Experience),465,,420,,420,408,431
GY130,Arts (Music),462,,408,,408,400,462
GY132,Government (Politics  Economics and Law),465,451,407,,407,402,
GY133,Education (Computer Science and Mathematical Studi,454,,422,,422,401,
GY134,Geography and Geosystems,425,,410,,410,,
GY135,Arts (Global Media),442,,,,,,
GY136,Na Dána (Léann Teanga - options),526,,,,,,
GY201,Commerce,476,,433,,433,420,420
GY202,Commerce (International) with French,520,,484,,484,484,484
GY203,Commerce (International) with German,518,,489,,489,489,477
