Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
CR420,Marketing,290.0,,290.0,357.0,285.0,,285.0,346.0,288.0,,288.0,337.0
CR425,International Business with Language,279.0,,279.0,419.0,298.0,,298.0,412.0,300.0,,289.0,369.0
CR430,Sport and Exercise Management,402.0,,402.0,434.0,322.0,,322.0,407.0,,,,
CR440,Montessori Education,409.0,408.0,408.0,431.0,288.0,,288.0,362.0,,,,
CR500,Engineering (Common Entry),475.0,,475.0,499.0,411.0,,411.0,465.0,381.0,,391.0,434.0
CR510,Sustainable Energy Engineering,320.0,,320.0,393.0,320.0,,320.0,389.0,319.0,,300.0,368.0
CR520,Biomedical Engineering,444.0,,444.0,498.0,444.0,,444.0,488.0,434.0,,433.0,499.0
CR560,Architectural Technology,375.0,,375.0,436.0,308.0,,308.0,377.0,288.0,,273.0,340.0
CR565,Interior Architecture,431.0,,431.0,465.0,359.0,,359.0,423.0,336.0,,302.0,367.0
CR570,Quantity Surveying,375.0,,375.0,429.0,336.0,,336.0,392.0,279.0,,282.0,351.0
CR572,Construction Management,300.0,,300.0,349.0,269.0,,269.0,318.0,253.0,,252.0,299.0
CR580,Electrical Engineering,342.0,,342.0,401.0,318.0,,318.0,377.0,344.0,,300.0,358.0
CR590,Electronic Engineering,329.0,,329.0,409.0,303.0,,303.0,379.0,342.0,,300.0,372.0
CR600,Visual Communications at CIT Crawford College of Art and Design,280.0,,280.0,510.0,,,,,587.0,,640.0,935.0
CR660,Tourism Management,246.0,,246.0,328.0,252.0,,252.0,325.0,249.0,,225.0,292.0
CR700,Theatre and Drama Studies at CIT Cork School of Music,609.0,609.0,609.0,894.0,740.0,645.0,645.0,982.0,768.0,,703.0,977.0
CR930,Home Economics and Business,518.0,,510.0,542.0,,,,,,,,
CK101,Arts - 3 years,300.0,,300.0,400.0,300.0,,300.0,388.0,300.0,,300.0,368.0
CK102,Social Science,434.0,431.0,420.0,462.0,412.0,,412.0,451.0,391.0,,387.0,422.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339.0,,339.0,485.0,302.0,,302.0,435.0,340.0,,368.0,450.0
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),421.0,420.0,420.0,488.0,368.0,337.0,319.0,418.0,397.0,,400.0,462.0
