,index,Course Code,Course Title,EOS,Mid,EOS_Points
116,33,DB581,Legal and Business Studies,195,454.0,195
117,34,DB582,Legal Studies,144,397.0,144
118,35,DB583,Legal and Business Studies,172,397.0,172
119,38,DT002,Engineering Reliability Management,226,270.0,226
120,39,DT003,Automation Engineering,270,319.0,270
121,40,DT004,Civil Engineering,242,339.0,242
122,41,DT005,Building Engineering,231,292.0,231
123,42,DT006,Mechanical Engineering,301,368.0,301
124,43,DT007,Automotive Management and Technology,242,283.0,242
125,44,DT008,Electronics and Communications Engineering,242,346.0,242
126,45,DT009,Electrical and Control Engineering,253,347.0,253
127,46,DT010,Electrical Services Engineering,233,272.0,233
128,47,DT011,Aviation Technology,341,409.0,341
129,48,DT080,Networking Technologies,241,329.0,241
130,49,DT097,Engineering (General Entry),371,479.0,371
131,50,DT104,"Auctioneering, Valuation and Estate Agency",300,366.0,300
132,51,DT169,Timber Product Technology,234,325.0,234
133,52,DT212,Science (General Entry),390,498.0,390
134,53,DT219,Ophthalmic Dispensing,302,418.0,302
135,54,DT259,Biosciences,400,488.0,400
136,1,DT260,Industrial and Environmental Physics,267,424.0,267
137,2,DT261,Medicinal Chemistry and Pharmaceutical Sciences,371,489.0,371
138,3,DT303,Marketing,340,421.0,340
139,4,DT315,Business Studies,330,444.0,330
140,5,DT324,Business Management,330,444.0,330
141,6,DT360,Retail Management and Marketing,296,337.0,296
142,7,DT406,Tourism Management,250,337.0,250
143,8,DT408,Hospitality Management,250,328.0,250
144,9,DT411,Leisure Management,254,317.0,254
145,10,DT418,Baking and Pastry Arts Management,242,387.0,242
146,11,DT424,Food Science and Management,270,389.0,270
147,12,DT425,Pharmacy Technician Studies,316,410.0,316
148,13,DT426,Bar and Restaurant Management,242,325.0,242
149,14,DT432,Culinary Arts (Professional Culinary Practice),241,359.0,241
150,15,DT598,Visual Merchandising and Display,#517,789.0,#517
151,18,DL701,Business - Applied Entrepreneurship,112,268.0,112
152,21,GC240,Computing (Cork),164,223.0,164
153,22,GC265,Journalism (Cork),118,368.0,118
154,23,GC306,International Hospitality Management (Limerick),338,389.0,338
155,24,GC311,Business (Limerick),175,318.0,175
156,25,GC316,Business (Limerick),379,392.0,379
157,26,GC335,Computing (Limerick),207,296.0,207
158,27,GC340,Computing (Limerick),393,393.0,393
159,28,GC406,International Hospitality Management (Dublin),173,289.0,173
160,29,GC410,Marketing (Dublin),135,290.0,135
161,30,GC411,Business (Dublin),155,281.0,155
162,31,GC416,Business (Dublin),AQA,198.0,AQA
163,32,GC425,Legal Studies (Dublin),147,327.0,147
164,33,GC435,Computing (Dublin),144,275.0,144
165,34,GC440,Computing (Dublin),142,150.0,142
166,35,GC460,Music Production for Games (Portfolio required - Dublin),,,
167,36,GC465,Journalism (Dublin),136,357.0,136
168,37,GC466,Film and TV Production (Dublin),AQA,320.0,AQA
169,38,GC470,Photographic Media (Dublin),AQA,349.0,AQA
170,39,GC475,Photography (Dublin),127,231.0,127
171,40,GC487,Animation (Dublin),150,317.0,150
172,41,GC490,Interior Design (Dublin),127,321.0,127
173,42,GC495,Fashion Design (Dublin),155,348.0,155
174,45,BN001,Electronics and Computer Engineering,198,251.0,198
175,46,BN002,Computing (Information Technology),186,252.0,186
176,47,BN003,Business,180,250.0,180
177,48,BN009,Mechatronic Engineering,181,278.0,181
178,49,BN010,Business and Information Technology,191,345.0,191
179,50,BN011,Applied Social Studies in Social Care,250,326.0,250
180,51,BN012,Computer Engineering,182,274.0,182
181,52,BN013,Computing (Information Technology),108,255.0,108
182,53,BN014,Business,192,326.0,192
183,54,BN015,Engineering (Common Entry with Award options),137,261.0,137
184,1,BN016,Business (Common Entry with Award options),137,263.0,137
185,2,BN017,International Business,188,337.0,188
186,3,BN020,Sports Management and Coaching,230,298.0,230
187,4,BN021,Creative Digital Media,AQA,314.0,AQA
188,5,BN022,Horticulture,189,316.0,189
189,6,BN025,Community and Youth Development,112,267.0,112
190,7,BN030,Early Childhood Care and Education,210,347.0,210
191,8,BN034,Digital Forensics and Cyber Security,188,280.0,188
192,9,BN040,Digital Marketing,187,278.0,187
193,12,TA006,Culinary Arts,100,208.0,100
194,13,TA014,Advertising and Marketing Communications,#620,712.0,#620
195,14,TA015,International Hospitality and Tourism Management,140,249.0,140
196,15,TA106,Business (Common entry),162,260.0,162
197,16,TA111,Accounting and Finance,170,297.0,170
198,17,TA113,Management,144,269.0,144
199,18,TA114,Marketing,163,271.0,163
200,19,TA116,International Business,191,300.0,191
201,20,TA117,Digital Marketing,121,240.0,121
202,21,TA201,Electronic Engineering,200,266.0,200
203,22,TA203,Mechanical Engineering,159,225.0,159
204,23,TA213,Mechanical Engineering,226,281.0,226
205,24,TA215,Sustainable Energy and Environmental Engineering,198,308.0,198
206,25,TA216,Electronic Engineering,214,262.0,214
207,26,TA218,Biomedical Design,203,318.0,203
208,27,TA219,Engineering Software,244,330.0,244
209,28,TA301,Applied Biology,189,336.0,189
210,29,TA302,Computing,205,279.0,205
211,30,TA311,Bioanalysis,179,316.0,179
212,31,TA312,Computing,189,307.0,189
213,32,TA313,Information Technology Management,198,268.0,198
214,33,TA314,Pharmaceutical Science,187,308.0,187
215,34,TA315,DNA and Forensic Analysis,205,338.0,205
216,35,TA316,Sports Science and Health,280,367.0,280
217,38,NC102,Computing in Applications and Support,234,307.0,234
218,39,NC103,Business,270,317.0,270
219,40,NC104,Business Computing,233,298.0,233
220,43,NM701,Montessori Education,108,358.0,108
221,46,TR801,Dental Nursing,357*,434.0,357*
222,47,TR802,Dental Hygiene,#424,462.0,#424
223,48,TR803,Dental Technology,#336,388.0,#336
224,51,DK615,Front Office Management and Business Administration,,,
225,52,DK620,Computing and Business,,,
226,53,DK640,Applied Engineering,,,
227,54,DK650,Culinary Arts,104,177.0,104
228,1,DK651,Hospitality Studies,AQA,178.0,AQA
229,2,DK710,Business and Management,120,328.0,120
230,3,DK711,Business and Technology,210,308.0,210
231,4,DK712,"Digital Marketing, Communication and Public Relations",205,338.0,205
232,5,DK721,Computing,140,282.0,140
233,6,DK731,Architectural Technology,200,343.0,200
234,7,DK732,Construction Management,157,288.0,157
235,8,DK740,Engineering - Electrical and Electronic Systems,184,298.0,184
236,9,DK742,Engineering - Mechanical Engineering,140,289.0,140
237,10,DK744,Engineering - Civil Engineering,183,326.0,183
238,11,DK750,Hospitality Management,190,279.0,190
239,12,DK752,Event Management,168,289.0,168
240,13,DK753,Culinary Arts,198,318.0,198
241,14,DK763,"Sport, Exercise and Enterprise",204,300.0,204
242,15,DK767,Community Youth Work,#240,300.0,#240
243,16,DK769,Media Arts and Technologies,140,330.0,140
244,17,DK770,Theatre & Film Practice,194,367.0,194
245,18,DK781,Science - Applied Bioscience,191,368.0,191
246,19,DK783,Science - Pharmaceutical Science,169,368.0,169
247,20,DK784,Veterinary Nursing,379,429.0,379
248,23,GA160,Business,161,243.0,161
249,24,GA170,Business,245,380.0,245
250,25,GA171,Business Information Systems,249,366.0,249
251,26,GA172,Rural Enterprise and Agri-Business - Mountbellew Campus,274,349.0,274
