,index,Course Code,INSTITUTION and COURSE,EOS,Mid
118,27,DB576,Film and Media,100,318.0
119,28,DB580,Legal Studies,108,318.0
120,29,DB581,Legal and Business Studies,156,391.0
121,30,DB582,Legal Studies,108,290.0
122,31,DB583,Legal and Business Studies,190,431.0
123,33,DT002,Engineering Reliability Management,234,357.0
124,34,DT003,Automation Engineering,270,335.0
125,35,DT004,Civil Engineering,243,322.0
126,36,DT005,Building Engineering,260,317.0
127,37,DT006,Mechanical Engineering,301,393.0
128,38,DT007,Automotive Management and Technology,240,313.0
129,39,DT008,Electronics and Communications Engineering,241,367.0
130,40,DT009,Electrical and Control Engineering,241,318.0
131,41,DT010,Electrical Services Engineering,243,290.0
132,42,DT011,Aviation Technology,346,397.0
133,43,DT080,Networking Technologies,241,336.0
134,44,DT097,Engineering (General Entry),370,466.0
135,45,DT104,"Auctioneering, Valuation and Estate Agency",290,367.0
136,46,DT169,Timber Product Technology,244,356.0
137,47,DT212,Science (General Entry),380,497.0
138,48,DT219,Ophthalmic Dispensing,302,441.0
139,49,DT259,Biosciences,400,487.0
140,50,DT260,Industrial and Environmental Physics,260,476.0
141,51,DT261,Medicinal Chemistry and Pharmaceutical Sciences,388,489.0
142,52,DT303,Marketing,320,412.0
143,53,DT315,Business Studies,320,431.0
144,0,DT324,Business Management,325,433.0
145,1,DT360,Retail Management and Marketing,290,326.0
146,2,DT404,Food Management and Entrepreneurship,268,376.0
147,3,DT406,Tourism Management,260,357.0
148,4,DT408,Hospitality Management,250,357.0
149,5,DT411,Leisure Management,250,317.0
150,6,DT418,Baking and Pastry Arts Management,240,398.0
151,7,DT424,Food Science and Management,270,393.0
152,8,DT425,Pharmacy Technician Studies,336,398.0
153,9,DT426,Bar and Restaurant Management,241,320.0
154,10,DT432,Culinary Arts (Professional Cookery Practice),242,382.0
155,11,DT598,Visual Merchandising and Display,#463,873.0
156,13,DL701,Business - Applied Entrepreneurship,154,299.0
157,15,GC265,Journalism (Cork),,
158,16,GC306,International Hospitality Management (Limerick),,
159,17,GC335,Computing (Limerick),213,260.0
160,18,GC406,International Hospitality Management (Dublin),189,217.0
161,19,GC410,Marketing (Dublin),204,357.0
162,20,GC411,Business (Dublin),AQA,349.0
163,21,GC416,Business (Dublin),142,190.0
164,22,GC425,Legal Studies (Dublin),,
165,23,GC435,Computing (Dublin),101,269.0
166,24,GC460,Music Production for Games (Dublin),,
167,25,GC465,Journalism (Dublin),144,367.0
168,26,GC466,Film and TV Production (Dublin),100,308.0
169,27,GC470,Photographic Media (Dublin),117,279.0
170,28,GC475,Photography (Dublin),128,289.0
171,29,GC490,Interior Design (Dublin),127,309.0
172,30,GC495,Fashion (Dublin),136,338.0
173,32,BN001,Computer Engineering,180,327.0
174,33,BN002,Computing (Information Technology),182,290.0
175,34,BN003,Business,180,251.0
176,35,BN009,Mechatronic Engineering,191,268.0
177,36,BN010,Business and Information Technology,183,280.0
178,37,BN011,Applied Social Studies in Social Care,270,357.0
179,38,BN012,Computer Engineering,180,305.0
180,39,BN013,Computing (Information Technology),108,252.0
181,40,BN014,Business,182,337.0
182,41,BN015,Engineering (Common Entry with Award options),126,255.0
183,42,BN016,Business (Common Entry with Award options),138,258.0
184,43,BN017,International Business,180,360.0
185,44,BN020,Sports Management and Coaching,232,297.0
186,45,BN021,Creative Digital Media,180,320.0
187,46,BN022,Horticulture,187,341.0
188,47,BN023,Accounting and Finance,241,398.0
189,48,BN025,Community and Youth Development,152,254.0
190,49,BN030,Early Childhood Care and Education,231,371.0
191,50,BN034,Digital Forensics and Cyber Security,198,281.0
192,51,BN040,Digital Marketing,180,299.0
193,52,BN049,"Design,Technology and Innovation",203,339.0
194,0,TA006,Culinary Arts (Level 6),133,241.0
195,1,TA014,Advertising and Marketing Communications,#288,676.0
196,2,TA015,International Hospitality and Tourism Management,140,223.0
197,3,TA016,Culinary Arts (Level 7),190,262.0
198,4,TA106,Business (Common entry),179,254.0
199,5,TA111,Accounting and Finance,185,308.0
200,6,TA113,Management,171,269.0
201,7,TA114,Marketing,171,260.0
202,8,TA116,International Business,184,317.0
203,9,TA117,Digital Marketing,180,269.0
204,10,TA201,Electronic Engineering,215,244.0
205,11,TA203,Mechanical Engineering,187,268.0
206,12,TA213,Mechanical Engineering,186,297.0
207,13,TA215,Sustainable Energy and Environmental Engineering,196,309.0
208,14,TA216,Electronic Engineering,201,280.0
209,15,TA218,Biomedical Design,208,340.0
210,16,TA219,Engineering Software,233,300.0
211,17,TA301,Applied Biology,204,338.0
212,18,TA302,Computing,180,235.0
213,19,TA311,Bioanalysis,200,261.0
214,20,TA312,Computing,204,300.0
215,21,TA313,Information Technology Management,198,291.0
216,22,TA314,Pharmaceutical Science,250,327.0
217,23,TA315,DNA and Forensic Analysis,280,369.0
218,24,TA316,Sports Science and Health,331,399.0
219,26,NC102,Computing in Applications and Support,220,307.0
220,27,NC103,Business,251,308.0
221,28,NC104,Business Computing,233,320.0
222,29,NC105,Data Science,297,466.0
223,31,NM701,Montessori Education,143,357.0
