,index,Course Code,Course Title,EOS,Mid,EOS_Points,Mid_Points
374,375,GC403,Law (Dublin),225,308,225,308
375,376,GC405,International Hospitality Management (Dublin),254,272,254,272
376,377,GC407,"Business Studies (Marketing, Dublin)",246,330,246,330
377,378,GC430,Computing Science (Dublin),217,269,217,269
378,379,GC450,Journalism and Visual Media (Dublin),227,307,227,307
379,380,GC462,Design Communication (Dublin),,,,
380,381,GC489,Interior Architecture (Dublin),#267,361,#267,361
381,382,GC494,Fashion Design (Dublin),#,,#,
383,384,ID001,Accounting and Finance,229,291,229,291
384,385,ID002,Business Studies,285,366,285,366
385,386,ID003,Business Studies with Chinese,,,,
387,388,BN101,Business,252,289,252,289
388,389,BN103,Business and Information Technology,254,290,254,290
389,390,BN104,Computing (Information Technology),260,293,260,293
390,391,BN107,Applied Social Studies in Social Care,300,328,300,328
391,392,BN108,Engineering (Common Entry with Award options),271,318,271,318
392,393,BN109,Business (Common Entry with Award options),260,279,260,279
393,394,BN110,International Business,253,308,253,308
394,395,BN111,Sports Management and Coaching,270,298,270,298
395,396,BN112,Creative Digital Media,280,329,280,329
396,397,BN113,Horticulture,289,321,289,321
397,398,BN114,Accounting and Finance,280,332,280,332
398,399,BN115,Community and Youth Development,250,298,250,298
399,400,BN117,Computer Engineering in Mobile Systems,273,311,273,311
400,401,BN118,Early Childhood Care and Education,290,320,290,320
401,402,BN119,Digital Marketing,270,308,270,308
402,403,BN120,Digital Forensics and Cyber Security,281,326,281,326
403,404,BN121,Mechatronic Engineering,276,340,276,340
404,405,BN123,"Design,Technology and Innovation",297,318,297,318
406,407,TA022,Creative Digital Media,260,318,260,318
407,408,TA023,Advertising and Marketing Communications,235,299,235,299
408,409,TA024,Early Childhood Care and Education,217,307,217,307
409,410,TA025,Social Care Practice,261,297,261,297
410,411,TA026,International Hospitality and Tourism Management,208,269,208,269
411,412,TA027,Botanical Cuisine,236,273,236,273
412,413,TA028,Digital Marketing Technologies,220,313,220,313
413,414,TA121,Accounting and Finance,202,328,202,328
414,415,TA122,Management,218,297,218,297
415,416,TA123,Marketing Management,207,284,207,284
416,417,TA125,International Business,229,300,229,300
417,418,TA221,Electronic Engineering,251,321,251,321
418,419,TA222,Mechanical Engineering,243,302,243,302
419,420,TA223,Sustainable Energy Engineering,236,305,236,305
420,421,TA224,Biomedical Design,218,324,218,324
421,422,TA225,Automation Engineering,235,288,235,288
422,423,TA226,Engineering Software,243,304,243,304
423,424,TA321,Pharmaceutical Science,261,298,261,298
424,425,TA322,Computing,200,294,200,294
425,426,TA323,Computing with IT Management,243,309,243,309
426,427,TA326,DNA and Forensic Analysis,300,362,300,362
427,428,TA327,Sports Science and Health,341,381,341,381
428,429,TA328,Computing with Language (French/German/Spanish),218,317,218,317
429,430,TA329,Computing with Data Analytics,218,296,218,296
431,432,AD101,First Year Art & Design (Common Entry),# +mat,ic 550,# +mat,550
432,433,AD102,Graphic Design and Moving Image Design,# +mat,ic 635,# +mat,635
433,434,AD103,Textile & Surface Design and Jewellery & Objects,# +mat,ic 545,# +mat,545
434,435,AD202,Education & Design or Fine Art (Second Level Teaching),# +mat,ic 580,# +mat,580
435,436,AD204,Fine Art,# +mat,ic 600,# +mat,600
436,437,AD211,Fashion Design,# +mat,ic 600,# +mat,600
437,438,AD212,Product Design,# +mat,ic 600,# +mat,600
438,439,AD215,Visual Culture,300,338,300,338
439,440,AD217,Illustration,# +mat,ic 625,# +mat,625
440,441,AD222,Interaction Design,# +mat,ic 657,# +mat,657
