,index,Course Code,Course Title,EOS,Mid,EOS_Points
88,45,CR325,Pharmaceutical Biotechnology,388,,388
89,46,CR333,Nutrition and Health Science,360,,360
90,47,CR335,Biological Sciences (Common Entry),381,,381
91,48,CR340,Analytical Chemistry with Quality Assurance,288,,288
92,49,CR360,Instrument Engineering,291,,291
93,50,CR365,Environmental Science and Sustainable Technology,334,,334
94,51,CR370,Agri-Biosciences,408,,408
95,52,CR400,Accounting,316,,316
96,53,CR420,Marketing,288,,288
97,54,CR425,International Business with Language,300,,300
98,0,CR500,Engineering (Common Entry),381,,381
99,1,CR510,Sustainable Energy Engineering,319,,319
100,2,CR520,Biomedical Engineering,434,,434
101,3,CR560,Architectural Technology,288,,288
102,4,CR565,Interior Architecture,336,,336
103,5,CR570,Quantity Surveying,279,,279
104,6,CR572,Construction Management,253,,253
105,7,CR580,Electrical Engineering,344,,344
106,8,CR590,Electronic Engineering,342,,342
107,9,CR600,Visual Communications,#587,,587
108,10,CR660,Tourism Management,249,,249
109,11,CR700,Theatre and Drama Studies at CIT Cork School of Music,#768,,768
111,13,CK101,Arts - 3 years,300,,300
112,14,CK102,Social Science,391,,391
113,15,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),#340,,340
114,16,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,,397
115,17,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,,326
116,18,CK108,Arts International - 4 years,429,,429
117,19,CK109,English - 3 years or 4 years (International Pathway),347,,347
118,20,CK110,World Languages,456,,456
119,21,CK111,Early Years and Childhood Studies,398,,398
120,22,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#324,,324
121,23,CK113,Criminology - 3 years or 4 years (International Pathway),408,,408
122,24,CK114,Social Science (Youth and Community Work) - 3 years,#,,
123,25,CK115,Social Work - Mature Applicants only,#,,
124,26,CK116,Sports Studies and Physical Education,499,,499
125,27,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,,307
126,28,CK120,Applied Psychology,506,,506
127,29,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,,393
128,30,CK122,Government and Political Science,355,,355
129,31,CK201,Commerce,465*,,465
130,32,CK202,Accounting,467,,467
131,33,CK203,Business Information Systems,409,,409
132,34,CK204,Finance,531,,531
133,35,CK205,Commerce (International) with French,409,,409
134,36,CK206,Commerce (International) with German,408,,408
135,37,CK207,Commerce (International) with Italian,408,,408
136,38,CK208,Commerce (International) with Hispanic Studies,431,,431
137,39,CK209,Commerce (International) with Irish,509,,509
138,40,CK211,Commerce (International) with Chinese Studies,398,,398
139,41,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,,400
140,42,CK301,Law (Pathways) -  3 or 4 years,476,,476
141,43,CK302,Law and French,453,,453
142,44,CK304,Law and Irish,462,,462
143,45,CK307,Law and Business,522,,522
144,46,CK401,Computer Science,402,,402
145,47,CK402,Biological and Chemical Sciences,498,,498
146,48,CK404,"Biological, Earth and Environmental Sciences",412,,412
147,49,CK405,Genetics,476,,476
148,50,CK406,Chemical Sciences,457,,457
149,51,CK407,Mathematical Sciences,531,,531
150,52,CK408,Physics and Astrophysics,511,,511
151,53,CK409,Industrial Physics (offered jointly by UCC and CIT),413,,413
152,54,CK411,Data Science and Analytics,509,,509
153,0,CK412,Agricultural Science,457,,457
154,1,CK502,Food Marketing and Entrepreneurship,433,,433
155,2,CK504,Nutritional Sciences,492,,492
156,3,CK505,Food Science,444,,444
157,4,CK506,International Development and Food Policy,367,,367
158,5,CK600,Engineering,465,,465
159,6,CK606,Architecture (offered jointly by UCC and CIT),465,,465
160,7,CK701,Medicine (Undergraduate Entry - HPAT required),#729,,729
161,8,CK702,Dentistry,590,,590
162,9,CK703,Pharmacy,577,,577
163,10,CK704,Occupational Therapy,532*,,532
164,11,CK705,Speech and Language Therapy,509,,509
165,12,CK706,Public Health Sciences,419,,419
166,13,CK707,Medical and Health Sciences,510*,,510
167,14,CK710,General Nursing,440,,440
168,15,CK712,Children`s and General Nursing (Integrated),499,,499
169,16,CK720,Mental Health Nursing,398,,398
170,17,CK730,Intellectual Disability Nursing,359,,359
171,18,CK740,Midwifery,444,,444
172,19,CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,,58
174,21,AC120,International Business,234,,234
175,22,AC137,Liberal Arts,252,,252
177,24,CT125,Information Technology,235,,235
179,26,CM001,Education - Primary Teaching,452*,,452
180,27,CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,,421
181,28,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,,491
182,29,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,,492
183,30,CM010,Education Studies,317,,317
