Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
TU705,Electrical and Control Engineering,272,,272,399.0,243,,243,339.0,,,,
TU706,Electrical Services Engineering,245,,245,327.0,244,,244,307.0,,,,
TU708,Engineering (Common Entry with Award options),AQA,263,263,384.0,225,,225,360.0,,,,
TU709,Engineering (General Entry),400,,400,531.0,370,,370,487.0,,,,
TU711,Mechatronic Engineering,225,,225,373.0,223,,223,372.0,,,,
TU713,Computer Engineering,222,,222,400.0,221,,221,322.0,,,,
TU714,Electronics and Communications Engineering,262,,262,420.0,264,,264,392.0,,,,
TU716,Networking Technology,249,,249,367.0,241,,241,386.0,,,,
TU717,Mechanical Engineering,301,,301,399.0,300,,300,367.0,,,,
TU719,"Design,Technology and Innovation",261,,261,391.0,228,,228,363.0,,,,
TU720,Automotive Management and Technology,232,,232,339.0,232,,232,338.0,,,,
TU721,Aviation Technology,302,,302,423.0,350,,352,434.0,,,,
TU722,Process Instrumentation and Automation Learn and Work (Test&Interview),346,346,346,548.0,292,292,401,499.0,,,,
TU725,Mechanical Engineering (General Entry),222,,222,398.0,,,,,,,,
TU726,Electronic Engineering (General Entry),215,,215,349.0,,,,,,,,
TU731,"Auctioneering, Valuation and Estate Agency",330,,330,419.0,290,,290,372.0,,,,
TU735,Sports Management and Coaching,270,,270,377.0,270,,270,347.0,,,,
TU736,Sports Science and Health,484,,484,532.0,410,391,391,455.0,,,,
TU737,Sports Studies,250,,250,378.0,,,,,,,,
TU741,Baking and Pastry Arts Management,231,,231,456.0,234,,238,412.0,,,,
TU742,Culinary Arts,158,,158,328.0,155,155,155,319.0,,,,
TU745,Hospitality Management,252,,252,368.0,245,,245,357.0,,,,
TU746,International Hospitality and Tourism Management,157,144,144,347.0,170,170,170,313.0,,,,
TU747,Tourism Management,263,,263,367.0,242,,242,369.0,,,,
TU751,Biosciences,418,,418,532.0,407,,407,509.0,,,,
TU752,DNA and Forensic Analysis,500,442,442,500.0,390,,390,465.0,,,,
TU754,Industrial and Environmental Physics,273,,273,476.0,270,,270,487.0,,,,
TU755,Science (General Entry),361,,361,523.0,361,,361,498.0,,,,
TU756,Computing,201,,201,388.0,200,195,195,357.0,,,,
TU757,Computing (Information Technology),227,,227,388.0,225,,225,352.0,,,,
TU758,Digital Forensics and Cyber Security,223,,223,356.0,220,,220,337.0,,,,
TU760,Bioanalysis,360,,360,426.0,204,204,204,327.0,,,,
TU761,Ophthalmic Dispensing,316,,316,462.0,302,,319,434.0,,,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,320,,320,520.0,364,,364,510.0,,,,
TU763,Pharmaceutical Science,391,,391,473.0,382,349,349,429.0,,,,
TU772,Business (options),AQA,250,AQA,408.0,AQA,227,AQA,317.0,,,,
TU780,Advertising and Marketing Communications,201,190,190,371.0,179,179,179,366.0,,,,
TU781,Digital Marketing,223,,223,339.0,220,,220,326.0,,,,
TU782,Digital Marketing,200,185,185,340.0,179,179,179,287.0,,,,
TU787,Business (options),200,180,180,429.0,,,,,,,,
TU788,Accounting and Finance (campus options),231,,231,462.0,,,,,,,,
TU790,Early Childhood Care and Education (campus options),223,,223,414.0,,,,,,,,
TU791,Applied Social Studies in Social Care,320,,320,399.0,320,,320,378.0,,,,
TU792,Community and Youth Development,AQA,242,AQA,310.0,101,250,101,288.0,,,,
TU795,Visual Merchandising and Display,618,,618,900.0,481,,481,763.0,,,,
TU796,Creative Digital Media,224,,224,388.0,225,,225,383.0,,,,
TR801,Dental Nursing,490,485,433,498.0,436,419,367,455.0,379,430.0,357,434.0
TR802,Dental Hygiene,577,565,565,613.0,543,511,498,532.0,520,531.0,424,462.0
TR803,Dental Technology,543,498,434,509.0,531,486,359,456.0,367,477.0,336,388.0
DK710,Business and Management,120,120,120,409.0,120,120,120,352.0,AQA,346.0,120,328.0
DK711,Business and Technology,140,140,140,395.0,191,,191,327.0,131,337.0,210,308.0
DK712,Digital Marketing and Public Relations,206,195,190,397.0,100,100,100,349.0,147,328.0,205,338.0
DK721,Computing,120,120,120,368.0,106,106,106,326.0,120,295.0,140,282.0
DK722,Augmented and Virtual Reality,207,207,179,331.0,144,144,144,348.0,,,,
DK730,Building Surveying,243,204,204,399.0,165,,165,330.0,AQA,293.0,,
DK731,Architectural Technology,253,210,210,414.0,332,,332,392.0,184,340.0,200,343.0
DK732,Construction Management,243,229,229,368.0,120,,120,321.0,138,280.0,157,288.0
DK740,Engineering - Electrical and Electronic Systems,163,163,163,329.0,179,179,179,339.0,176,273.0,184,298.0
DK742,Engineering - Mechanical Engineering,166,166,166,344.0,166,166,166,312.0,120,325.0,140,289.0
DK744,Engineering - Civil Engineering,165,165,165,399.0,190,157,157,341.0,183,345.0,183,326.0
