Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
CW517,Mechanical Engineering,290.0,280.0,276.0,,276.0,252.0,264.0
CW527,Electronic Engineering,226.0,,227.0,,227.0,225.0,217.0
CW547,TV and Media Production,303.0,,301.0,,301.0,306.0,326.0
CW706,Legal Studies,174.0,,163.0,,163.0,196.0,202.0
CW707,Industrial Design,241.0,,207.0,,207.0,199.0,207.0
CW717,Professional Social Care Practice,271.0,262.0,288.0,,288.0,260.0,240.0
CW807,Sport Coaching and Business Management - GAA (port,700.0,,700.0,,700.0,700.0,700.0
CW817,Sport Coaching and Business Management - Rugby (po,700.0,,700.0,,700.0,700.0,700.0
CW827,Sport Coaching and Business Management - Soccer (p,700.0,,700.0,,700.0,700.0,700.0
CW837,Digital Marketing with Analytics,215.0,,200.0,,200.0,240.0,
CW906,Business,164.0,,177.0,,177.0,173.0,171.0
CW917,Business (options),228.0,,224.0,,224.0,200.0,208.0
CW926,Business with Law,204.0,,210.0,,210.0,204.0,208.0
CW936,Accounting,207.0,,231.0,,231.0,204.0,207.0
PC402,Arts and Humanities,203.0,113.0,200.0,121.0,80.0,126.0,
PC404,Applied Social Studies - Professional Social Care,200.0,100.0,217.0,197.0,175.0,,
CR001,Applied Physics and Instrumentation,292.0,,250.0,,250.0,258.0,297.0
CR006,Applied Biosciences,420.0,,361.0,,361.0,380.0,360.0
CR007,Analytical and Pharmaceutical Chemistry,272.0,,240.0,,240.0,246.0,292.0
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri Co,336.0,,321.0,,321.0,270.0,289.0
CR016,Software Development,351.0,,307.0,,307.0,270.0,270.0
CR021,Business (Common Entry),253.0,,255.0,,255.0,250.0,240.0
CR022,Business Administration,172.0,,190.0,,190.0,206.0,192.0
CR031,Social Care Work,360.0,,346.0,,346.0,326.0,326.0
CR032,Recreation and Leisure Management,343.0,,298.0,,298.0,250.0,260.0
CR035,Community Development,133.0,,100.0,,100.0,162.0,117.0
CR041,Tourism Management,212.0,180.0,216.0,,216.0,180.0,185.0
CR042,Hospitality Management,205.0,,208.0,,208.0,101.0,182.0
CR046,Automotive Technology and Management,227.0,,216.0,,216.0,214.0,200.0
CR051,Civil Engineering,261.0,,248.0,,248.0,244.0,226.0
CR052,Construction,270.0,,251.0,,251.0,232.0,225.0
CR053,Interior Architecture,375.0,,308.0,,308.0,253.0,252.0
CR055,Environmental Engineering,297.0,,258.0,,258.0,255.0,226.0
CR061,Electronic Engineering,300.0,,260.0,,260.0,308.0,251.0
CR062,Electrical Engineering,320.0,,300.0,,300.0,279.0,250.0
CR071,Mechanical Engineering,263.0,,261.0,,261.0,250.0,270.0
CR075,Biomedical Engineering,315.0,,306.0,,306.0,350.0,312.0
CR090,Architectural Technology,308.0,,266.0,,266.0,251.0,244.0
CR094,Nautical Science at National Maritime College of I,256.0,,243.0,,243.0,237.0,257.0
CR095,Marine Engineering at National Maritime College of,234.0,,255.0,,255.0,224.0,241.0
CR300,Physical Sciences (Common Entry),260.0,,282.0,,282.0,270.0,300.0
CR620,Early Childhood Education and Care,397.0,377.0,365.0,357.0,357.0,337.0,341.0
CR640,Culinary Arts,220.0,178.0,244.0,,244.0,125.0,197.0
CR650,Beverage Industry Management,193.0,162.0,209.0,,209.0,182.0,120.0
CR655,Culinary Studies,196.0,113.0,189.0,,189.0,116.0,139.0
CR657,Hospitality Studies,171.0,,180.0,163.0,163.0,162.0,154.0
CR805,Marine Electrotechnology at National Maritime Coll,229.0,,235.0,,235.0,217.0,244.0
CR888,Information Technology,300.0,,290.0,,290.0,271.0,280.0
DS602,Higher Certificate in Science in Computing Level 6,120.0,,,,198.0,225.0,
DS701,Bachelor of Business Level 7 (3 years),136.0,,,,299.0,,120.0
DS702,BSc in Computing Level 7 (3 years),136.0,,,,290.0,102.0,200.0
DB528,Applied Social Care,146.0,104.0,,,,,129.0
DB534,Sound Engineering and Music Production,139.0,139.0,,,,179.0,164.0
DB563,Arts,143.0,143.0,161.0,189.0,161.0,128.0,136.0
DB571,Business Studies,113.0,113.0,173.0,211.0,122.0,134.0,146.0
DB572,Business (Accounting),141.0,141.0,119.0,117.0,117.0,,117.0
DB573,Business (Marketing),169.0,137.0,117.0,146.0,117.0,127.0,135.0
DB574,Business (Information Technology),173.0,173.0,136.0,388.0,136.0,,144.0
DB576,Film and Creative Media,101.0,101.0,,,,100.0,
DL701,Business - Applied Entrepreneurship,162.0,162.0,,,,154.0,112.0
GC335,Computing,171.0,171.0,217.0,195.0,195.0,213.0,207.0
GC410,Marketing,122.0,122.0,145.0,,145.0,204.0,135.0
GC411,Business,180.0,180.0,135.0,135.0,135.0,,155.0
GC435,Computing,108.0,108.0,,,96.0,101.0,144.0
GC460,Music Production for Games (portfolio),,,,,,,
GC465,Communications,118.0,118.0,,,,144.0,136.0
GC466,Film and TV Production,121.0,121.0,,,,100.0,
GC470,Photographic Media,163.0,163.0,169.0,169.0,169.0,117.0,
GC475,Photography,125.0,125.0,150.0,150.0,150.0,128.0,127.0
GC490,Interior Design,137.0,137.0,117.0,117.0,117.0,127.0,127.0
GC495,Fashion,110.0,110.0,129.0,129.0,129.0,136.0,155.0
BY002,Business,347.0,171.0,,,,,
NC102,Computing,225.0,,220.0,,220.0,220.0,234.0
NC103,Business,252.0,,250.0,,250.0,251.0,270.0
NC104,Business Computing,242.0,,243.0,,243.0,233.0,233.0
NM701,Montessori Education,137.0,137.0,187.0,,187.0,143.0,108.0
TU605,Electronic and Information Engineering,190.0,,,,,,
TU606,Mechanical Engineering (General Entry),192.0,,,,,,
TU641,Bar and Restaurant Management,243.0,,223.0,,223.0,,
TU642,Culinary Arts (Cuisine and Wellness),154.0,,153.0,,153.0,,
TU643,Culinary Arts (Professional Cookery Practice),242.0,,236.0,,236.0,,
TU644,Food Management and Entrepreneurship,250.0,,223.0,,223.0,,
TU645,Food Science and Management,251.0,,241.0,,243.0,,
TU651,Applied Biology,361.0,,205.0,196.0,196.0,,
TU652,Computing,240.0,,194.0,,194.0,,
TU654,Pharmacy Technician Studies,350.0,,321.0,,321.0,,
TU655,Computing (Networking Technologies) Learn and Work,502.0,,410.0,335.0,335.0,,
TU670,Business (campus options),224.0,,,,,,
TU673,Business Management,301.0,,300.0,,300.0,,
TU674,Business Studies,307.0,,300.0,,306.0,,
TU675,Marketing,301.0,,301.0,,301.0,,
TU676,Retail Management and Marketing,290.0,,290.0,,290.0,,
TU701,Automation Engineering,243.0,,260.0,,261.0,,
TU702,Sustainable Energy and Environmental Engineering,249.0,,232.0,232.0,232.0,,
TU703,Building Engineering,273.0,,260.0,,260.0,,
TU704,Civil Engineering,260.0,,262.0,,262.0,,
TU705,Electrical and Control Engineering,272.0,,243.0,,243.0,,
TU706,Electrical Services Engineering,245.0,,244.0,,244.0,,
TU708,Engineering (Common Entry with Award options),117.0,263.0,225.0,,225.0,,
TU709,Engineering (General Entry),400.0,,370.0,,370.0,,
TU711,Mechatronic Engineering,225.0,,223.0,,223.0,,
TU713,Computer Engineering,222.0,,221.0,,221.0,,
TU714,Electronics and Communications Engineering,262.0,,264.0,,264.0,,
TU716,Networking Technology,249.0,,241.0,,241.0,,
TU717,Mechanical Engineering,301.0,,300.0,,300.0,,
TU719,Design Technology and Innovation,261.0,,228.0,,228.0,,
TU720,Automotive Management and Technology,232.0,,232.0,,232.0,,
TU721,Aviation Technology,302.0,,350.0,,352.0,,
TU722,Process Instrumentation and Automation Learn and W,346.0,346.0,292.0,292.0,401.0,,
TU725,Mechanical Engineering (General Entry),222.0,,,,,,
TU726,Electronic Engineering (General Entry),215.0,,,,,,
TU731,Auctioneering  Valuation and Estate Agency,330.0,,290.0,,290.0,,
TU735,Sports Management and Coaching,270.0,,270.0,,270.0,,
TU736,Sports Science and Health,484.0,,410.0,391.0,391.0,,
TU737,Sports Studies,250.0,,,,,,
