Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
DL701,Business - Applied Entrepreneurship,189.0,339.0,229.0,359.0,154.0,299.0,112.0,268.0
GC335,Computing,171.0,278.0,195.0,235.0,213.0,260.0,207.0,296.0
GC410,Marketing,122.0,337.0,145.0,371.0,204.0,357.0,135.0,290.0
GC411,Business,180.0,378.0,135.0,370.0,219.0,349.0,155.0,281.0
GC435,Computing,108.0,349.0,96.0,279.0,101.0,269.0,144.0,275.0
GC460,Music Production for Games (portfolio),,0.0,,,,,,
GC465,Communications,118.0,395.0,219.0,349.0,144.0,367.0,136.0,357.0
GC466,Film and TV Production,121.0,418.0,209.0,339.0,100.0,308.0,190.0,320.0
GC470,Photographic Media,163.0,352.0,169.0,279.0,117.0,279.0,219.0,349.0
GC475,Photography,125.0,343.0,150.0,348.0,128.0,289.0,127.0,231.0
GC490,Interior Design,137.0,359.0,117.0,360.0,127.0,309.0,127.0,321.0
GC495,Fashion,110.0,398.0,129.0,349.0,136.0,338.0,155.0,348.0
BY002,Business,171.0,347.0,,,,,,
NC102,Computing,225.0,366.0,220.0,342.0,220.0,307.0,234.0,307.0
NC103,Business,252.0,372.0,250.0,327.0,251.0,308.0,270.0,317.0
NC104,Business Computing,242.0,390.0,243.0,423.0,233.0,320.0,233.0,298.0
NM701,Montessori Education,137.0,387.0,187.0,407.0,143.0,357.0,108.0,358.0
TU605,Electronic and Information Engineering,190.0,339.0,,,,,,
TU606,Mechanical Engineering (General Entry),192.0,359.0,,,,,,
TU641,Bar and Restaurant Management,243.0,366.0,223.0,356.0,,,,
TU642,Culinary Arts (Cuisine and Wellness),200.0,330.0,153.0,244.0,,,,
TU643,Culinary Arts (Professional Cookery Practice),242.0,418.0,236.0,383.0,,,,
TU644,Food Management and Entrepreneurship,250.0,451.0,223.0,456.0,,,,
TU645,Food Science and Management,251.0,473.0,243.0,390.0,,,,
TU651,Applied Biology,361.0,474.0,196.0,359.0,,,,
TU652,Computing,240.0,391.0,194.0,265.0,,,,
TU654,Pharmacy Technician Studies,338.0,452.0,321.0,420.0,,,,
TU655,Computing (Networking Technologies) Learn and Work,502.0,551.0,335.0,459.0,,,,
TU670,Business (campus options),224.0,378.0,,,,,,
TU673,Business Management,301.0,495.0,300.0,451.0,,,,
TU674,Business Studies,307.0,484.0,306.0,451.0,,,,
TU675,Marketing,301.0,431.0,301.0,412.0,,,,
TU676,Retail Management and Marketing,290.0,386.0,290.0,377.0,,,,
TU701,Automation Engineering,243.0,346.0,261.0,368.0,,,,
